#plotCorrelation --outFileCorMatrix
	'SppsKO_4.bw'	'SppsKO_3.bw'	'SppsKO_1.bw'	'SppsKO_2.bw'	'PhoKO_1.bw'	'PhoKO_2.bw'	'PhoKO_3.bw'	'WT_3.bw'	'WT_1.bw'	'WT_2.bw'
'SppsKO_4.bw'	1.0000	0.9818	0.9814	0.9811	0.9675	0.9716	0.9712	0.9683	0.9723	0.9738
'SppsKO_3.bw'	0.9818	1.0000	0.9863	0.9844	0.9715	0.9718	0.9721	0.9722	0.9763	0.9751
'SppsKO_1.bw'	0.9814	0.9863	1.0000	0.9869	0.9704	0.9717	0.9718	0.9731	0.9757	0.9749
'SppsKO_2.bw'	0.9811	0.9844	0.9869	1.0000	0.9697	0.9716	0.9717	0.9727	0.9749	0.9741
'PhoKO_1.bw'	0.9675	0.9715	0.9704	0.9697	1.0000	0.9799	0.9804	0.9697	0.9719	0.9704
'PhoKO_2.bw'	0.9716	0.9718	0.9717	0.9716	0.9799	1.0000	0.9827	0.9708	0.9738	0.9746
'PhoKO_3.bw'	0.9712	0.9721	0.9718	0.9717	0.9804	0.9827	1.0000	0.9698	0.9733	0.9745
'WT_3.bw'	0.9683	0.9722	0.9731	0.9727	0.9697	0.9708	0.9698	1.0000	0.9825	0.9798
'WT_1.bw'	0.9723	0.9763	0.9757	0.9749	0.9719	0.9738	0.9733	0.9825	1.0000	0.9857
'WT_2.bw'	0.9738	0.9751	0.9749	0.9741	0.9704	0.9746	0.9745	0.9798	0.9857	1.0000
