#plotCorrelation --outFileCorMatrix
	'Ez_WT_2.raw.bw'	'Ez_WT_3.raw.bw'	'Ez_WT_1.raw.bw'	'Pho_WT_3.raw.bw'	'Pc_WT_2.raw.bw'	'Spps_WT_2.raw.bw'	'Psc_WT_1.raw.bw'	'Pho_WT_1.raw.bw'	'Psc_WT_2.raw.bw'	'Input_WT_2.raw.bw'	'Pho_WT_2.raw.bw'	'Input_WT_1.raw.bw'	'Ph_WT_1.raw.bw'	'Spps_WT_1.raw.bw'	'Pc_WT_1.raw.bw'	'Ph_WT_2.raw.bw'
'Ez_WT_2.raw.bw'	1.0000	0.9682	0.9612	0.9509	0.9504	0.9385	0.9040	0.9313	0.9353	0.8452	0.8743	0.8633	0.8980	0.8816	0.7748	0.8166
'Ez_WT_3.raw.bw'	0.9682	1.0000	0.9600	0.9562	0.9374	0.9338	0.9023	0.9260	0.9196	0.8621	0.8726	0.8904	0.8966	0.8880	0.7906	0.8044
'Ez_WT_1.raw.bw'	0.9612	0.9600	1.0000	0.9597	0.9407	0.9241	0.8970	0.9307	0.9284	0.8770	0.8967	0.8868	0.8982	0.8847	0.8293	0.7959
'Pho_WT_3.raw.bw'	0.9509	0.9562	0.9597	1.0000	0.9420	0.9292	0.9134	0.9527	0.9395	0.8898	0.9166	0.8909	0.9011	0.8930	0.8299	0.8108
'Pc_WT_2.raw.bw'	0.9504	0.9374	0.9407	0.9420	1.0000	0.9256	0.8996	0.9431	0.9372	0.8391	0.8853	0.8357	0.8883	0.8798	0.7698	0.8089
'Spps_WT_2.raw.bw'	0.9385	0.9338	0.9241	0.9292	0.9256	1.0000	0.9050	0.9256	0.9351	0.8606	0.8710	0.8681	0.9016	0.8885	0.7642	0.8190
'Psc_WT_1.raw.bw'	0.9040	0.9023	0.8970	0.9134	0.8996	0.9050	1.0000	0.9215	0.9387	0.8664	0.8995	0.8464	0.8767	0.8718	0.8176	0.8503
'Pho_WT_1.raw.bw'	0.9313	0.9260	0.9307	0.9527	0.9431	0.9256	0.9215	1.0000	0.9514	0.8804	0.9199	0.8606	0.8973	0.8963	0.8062	0.8319
'Psc_WT_2.raw.bw'	0.9353	0.9196	0.9284	0.9395	0.9372	0.9351	0.9387	0.9514	1.0000	0.8930	0.9334	0.8527	0.9176	0.8923	0.8283	0.8808
'Input_WT_2.raw.bw'	0.8452	0.8621	0.8770	0.8898	0.8391	0.8606	0.8664	0.8804	0.8930	1.0000	0.8972	0.8883	0.8375	0.8376	0.8615	0.7777
'Pho_WT_2.raw.bw'	0.8743	0.8726	0.8967	0.9166	0.8853	0.8710	0.8995	0.9199	0.9334	0.8972	1.0000	0.8309	0.8677	0.8507	0.9005	0.8397
'Input_WT_1.raw.bw'	0.8633	0.8904	0.8868	0.8909	0.8357	0.8681	0.8464	0.8606	0.8527	0.8883	0.8309	1.0000	0.9075	0.9080	0.7874	0.7624
'Ph_WT_1.raw.bw'	0.8980	0.8966	0.8982	0.9011	0.8883	0.9016	0.8767	0.8973	0.9176	0.8375	0.8677	0.9075	1.0000	0.9254	0.7796	0.8822
'Spps_WT_1.raw.bw'	0.8816	0.8880	0.8847	0.8930	0.8798	0.8885	0.8718	0.8963	0.8923	0.8376	0.8507	0.9080	0.9254	1.0000	0.7570	0.8259
'Pc_WT_1.raw.bw'	0.7748	0.7906	0.8293	0.8299	0.7698	0.7642	0.8176	0.8062	0.8283	0.8615	0.9005	0.7874	0.7796	0.7570	1.0000	0.7670
'Ph_WT_2.raw.bw'	0.8166	0.8044	0.7959	0.8108	0.8089	0.8190	0.8503	0.8319	0.8808	0.7777	0.8397	0.7624	0.8822	0.8259	0.7670	1.0000
