"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme04013","dme04013","MAPK signaling pathway - fly","11/95","93/3209",6.99562692475785e-05,0.00538663273206354,0.0051546724708742,"sev/peb/aop/pnt/boss/aos/phyl/ttk/raw/sty/bsk",11
"dme04320","dme04320","Dorso-ventral axis formation","5/95","28/3209",0.00117142390072237,0.0450998201778114,0.0431577226581927,"aop/pnt/aos/rho/enc",5
"dme00592","dme00592","alpha-Linolenic acid metabolism","3/95","13/3209",0.0057948381202733,0.148734178420348,0.142329357340046,"sPLA2/CG17544/CG5009",3
"dme00071","dme00071","Fatty acid degradation","4/95","33/3209",0.0152808582494471,0.287905875801834,0.275508015121372,"CG17544/Aldh/CG5009/Acsl",4
"dme03030","dme03030","DNA replication","4/95","35/3209",0.0186951867403788,0.287905875801834,0.275508015121372,"Mcm6/dpa/DNApol-alpha60/Mcm2",4
"dme00410","dme00410","beta-Alanine metabolism","3/95","24/3209",0.0324316884992349,0.405427931711286,0.387969312642378,"CG17544/Aldh/CG5009",3
"dme00020","dme00020","Citrate cycle (TCA cycle)","4/95","43/3209",0.036857084701026,0.405427931711286,0.387969312642378,"Nc73EF/l(1)G0156/muc/ATPCL",4
"dme00010","dme00010","Glycolysis / Gluconeogenesis","4/95","55/3209",0.0781304702530077,0.712220667540358,0.681550878029051,"CG32444/Gapdh1/muc/Aldh",4
"dme00310","dme00310","Lysine degradation","3/95","35/3209",0.0832465715306912,0.712220667540358,0.681550878029051,"Plod/E(z)/Aldh",3
"dme03430","dme03430","Mismatch repair","2/95","20/3209",0.116788009923754,0.77469431553886,0.741334273242928,"Msh6/spel1",2
"dme04146","dme04146","Peroxisome","5/95","91/3209",0.130390511500591,0.77469431553886,0.741334273242928,"CG8306/CG17544/AOX4/CG5009/Acsl",5
"dme03013","dme03013","RNA transport","7/95","148/3209",0.146213013992469,0.77469431553886,0.741334273242928,"eIF3e/CG18787/eIF3g1/RanGAP/eIF3h/Sec13/Nxt1",7
"dme04215","dme04215","Apoptosis - multiple species","2/95","23/3209",0.147052019828558,0.77469431553886,0.741334273242928,"rpr/bsk",2
"dme01200","dme01200","Carbon metabolism","6/95","123/3209",0.154888925799509,0.77469431553886,0.741334273242928,"Nc73EF/l(1)G0156/CG17544/Gapdh1/muc/CG5009",6
"dme00565","dme00565","Ether lipid metabolism","2/95","24/3209",0.157472049949406,0.77469431553886,0.741334273242928,"sPLA2/bbc",2
"dme01040","dme01040","Biosynthesis of unsaturated fatty acids","2/95","25/3209",0.168027637898458,0.77469431553886,0.741334273242928,"CG17544/CG5009",2
"dme03460","dme03460","Fanconi anemia pathway","2/95","26/3209",0.17870188228135,0.77469431553886,0.741334273242928,"DNApol-eta/Ercc1",2
"dme00981","dme00981","Insect hormone biosynthesis","2/95","27/3209",0.189478744282249,0.77469431553886,0.741334273242928,"CG40485/Aldh",2
"dme00480","dme00480","Glutathione metabolism","4/95","78/3209",0.198518812236825,0.77469431553886,0.741334273242928,"RnrS/GstE9/CG31343/CG4752",4
"dme01212","dme01212","Fatty acid metabolism","3/95","53/3209",0.205968776456881,0.77469431553886,0.741334273242928,"CG17544/CG5009/Acsl",3
"dme00640","dme00640","Propanoate metabolism","2/95","29/3209",0.211280267874234,0.77469431553886,0.741334273242928,"CG17544/CG5009",2
"dme04933","dme04933","AGE-RAGE signaling pathway in diabetic complications","2/95","31/3209",0.233319838031517,0.816619433110308,0.781454002976372,"inaC/bsk",2
"dme00280","dme00280","Valine, leucine and isoleucine degradation","2/95","33/3209",0.255496753585144,0.834037696324941,0.798122197440135,"CG4747/Aldh",2
"dme00450","dme00450","Selenocompound metabolism","1/95","11/3209",0.281858182372964,0.834037696324941,0.798122197440135,"Sps2",1
"dme00564","dme00564","Glycerophospholipid metabolism","3/95","63/3209",0.285829657875636,0.834037696324941,0.798122197440135,"sPLA2/CG8745/bbc",3
"dme04214","dme04214","Apoptosis - fly","3/95","63/3209",0.285829657875636,0.834037696324941,0.798122197440135,"rpr/Traf4/bsk",3
"dme03420","dme03420","Nucleotide excision repair","2/95","39/3209",0.322000015219547,0.834037696324941,0.798122197440135,"Ercc1/Xpc",2
"dme00061","dme00061","Fatty acid biosynthesis","1/95","13/3209",0.323897269385411,0.834037696324941,0.798122197440135,"Acsl",1
"dme04141","dme04141","Protein processing in endoplasmic reticulum","5/95","133/3209",0.358308656560539,0.834037696324941,0.798122197440135,"alpha-Man-Ic/Sec13/bsk/sip3/P58IPK",5
"dme00531","dme00531","Glycosaminoglycan degradation","1/95","15/3209",0.363499840403879,0.834037696324941,0.798122197440135,"Ids",1
"dme03015","dme03015","mRNA surveillance pathway","3/95","73/3209",0.367883191018005,0.834037696324941,0.798122197440135,"su(f)/Rbp4/Nxt1",3
"dme00620","dme00620","Pyruvate metabolism","2/95","46/3209",0.39764580538254,0.834037696324941,0.798122197440135,"muc/Aldh",2
"dme00590","dme00590","Arachidonic acid metabolism","1/95","17/3209",0.400805696082323,0.834037696324941,0.798122197440135,"sPLA2",1
"dme00520","dme00520","Amino sugar and nucleotide sugar metabolism","2/95","47/3209",0.408161730355754,0.834037696324941,0.798122197440135,"CG5946/Cht7",2
"dme01210","dme01210","2-Oxocarboxylic acid metabolism","1/95","19/3209",0.435946697028384,0.834037696324941,0.798122197440135,"l(1)G0156",1
"dme03410","dme03410","Base excision repair","1/95","20/3209",0.452744522665469,0.834037696324941,0.798122197440135,"Rrp1",1
"dme00380","dme00380","Tryptophan metabolism","1/95","21/3209",0.469047210137022,0.834037696324941,0.798122197440135,"Aldh",1
"dme00730","dme00730","Thiamine metabolism","1/95","21/3209",0.469047210137022,0.834037696324941,0.798122197440135,"CG3292",1
