"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme03460","dme03460","Fanconi anemia pathway","2/35","26/3209",0.0318868693870237,0.374278295068426,0.348165855877605,"RpA-70/mei-9",2
"dme00600","dme00600","Sphingolipid metabolism","2/35","28/3209",0.036587895677955,0.374278295068426,0.348165855877605,"CG10425/Sk1",2
"dme04142","dme04142","Lysosome","4/35","118/3209",0.0377682352290027,0.374278295068426,0.348165855877605,"VhaSFD/CG4250/cathD/Acph-1",4
"dme00250","dme00250","Alanine, aspartate and glutamate metabolism","2/35","30/3209",0.0415393953517818,0.374278295068426,0.348165855877605,"CG12338/CG7860",2
"dme00500","dme00500","Starch and sucrose metabolism","2/35","33/3209",0.0494092412188008,0.374278295068426,0.348165855877605,"Mal-B2/Amyrel",2
"dme00052","dme00052","Galactose metabolism","2/35","37/3209",0.0606664622785826,0.374278295068426,0.348165855877605,"CG10467/Mal-B2",2
"dme03420","dme03420","Nucleotide excision repair","2/35","39/3209",0.0665970965598797,0.374278295068426,0.348165855877605,"RpA-70/mei-9",2
"dme00240","dme00240","Pyrimidine metabolism","2/35","40/3209",0.0696331711755211,0.374278295068426,0.348165855877605,"CG2794/nmdyn-D7",2
"dme04512","dme04512","ECM-receptor interaction","1/35","12/3209",0.123508456376634,0.476956281401977,0.443680261769281,"LanA",1
"dme00061","dme00061","Fatty acid biosynthesis","1/35","13/3209",0.133104078530784,0.476956281401977,0.443680261769281,"FASN2",1
"dme00514","dme00514","Other types of O-glycan biosynthesis","1/35","13/3209",0.133104078530784,0.476956281401977,0.443680261769281,"O-fut2",1
"dme00534","dme00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","1/35","13/3209",0.133104078530784,0.476956281401977,0.443680261769281,"Hsepi",1
"dme04141","dme04141","Protein processing in endoplasmic reticulum","3/35","133/3209",0.175102951520378,0.579186685798172,0.538778312370393,"CG32581/Sec31/CG7556",3
"dme03430","dme03430","Mismatch repair","1/35","20/3209",0.197473473543706,0.587191257481233,0.546224425563938,"RpA-70",1
"dme00380","dme00380","Tryptophan metabolism","1/35","21/3209",0.206281384621151,0.587191257481233,0.546224425563938,"CG1544",1
"dme03440","dme03440","Homologous recombination","1/35","23/3209",0.22361637049662,0.587191257481233,0.546224425563938,"RpA-70",1
"dme00030","dme00030","Pentose phosphate pathway","1/35","24/3209",0.232145380864674,0.587191257481233,0.546224425563938,"CG8036",1
"dme00051","dme00051","Fructose and mannose metabolism","1/35","29/3209",0.273443451065237,0.603195796451808,0.56111236879238,"CG7328",1
"dme04933","dme04933","AGE-RAGE signaling pathway in diabetic complications","1/35","31/3209",0.289351308104773,0.603195796451808,0.56111236879238,"norpA",1
"dme00230","dme00230","Purine metabolism","2/35","101/3209",0.302264020148901,0.603195796451808,0.56111236879238,"Pde9/nmdyn-D7",2
"dme00310","dme00310","Lysine degradation","1/35","35/3209",0.320158337044752,0.603195796451808,0.56111236879238,"CG1544",1
"dme03030","dme03030","DNA replication","1/35","35/3209",0.320158337044752,0.603195796451808,0.56111236879238,"RpA-70",1
