"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme04142","dme04142","Lysosome","13/125","118/3209",0.00054206275378001,0.0218652055088612,0.0176356408068737,"Tsp42Ea/CG6656/Hexo2/CG42566/Lerp/LManII/CG17134/Gal/Tsp39D/CG7997/VhaAC45/Npc1a/vsg",13
"dme00260","dme00260","Glycine, serine and threonine metabolism","6/125","28/3209",0.000576344977532324,0.0218652055088612,0.0176356408068737,"CG9629/aay/Gnmt/CG5955/CG10361/CG6415",6
"dme04512","dme04512","ECM-receptor interaction","4/125","12/3209",0.000851891123721865,0.0218652055088612,0.0176356408068737,"Col4a1/vkg/LanB1/Hml",4
"dme00310","dme00310","Lysine degradation","6/125","35/3209",0.00198522348442031,0.038215552075091,0.030823206731789,"CG9547/CG5214/CG9629/LKRSDH/CG31915/CG31751",6
"dme00981","dme00981","Insect hormone biosynthesis","5/125","27/3209",0.0033514819137288,0.050840923254004,0.0410063495828603,"spok/shd/phm/nvd/Jheh1",5
"dme00983","dme00983","Drug metabolism - other enzymes","10/125","97/3209",0.00396163038342888,0.050840923254004,0.0410063495828603,"GstE1/CG15547/AOX3/alpha-Est2/AOX1/su(r)/pyd3/GstD1/GstE7/GstD5",10
"dme00230","dme00230","Purine metabolism","10/125","101/3209",0.005304109417145,0.058345203588595,0.0470590158814368,"CG15547/AOX3/CG32549/NT5E-2/rut/AOX1/Ac76E/Ac3/Adgf-C/Pde1c",10
"dme00670","dme00670","One carbon pool by folate","3/125","12/3209",0.00980803066281321,0.0944022951295772,0.0761412906718394,"CG8665/CG34424/CG6415",3
"dme00052","dme00052","Galactose metabolism","5/125","37/3209",0.0132635612685045,0.110304505170427,0.0889674067676716,"Gal/CG10863/CG7997/Hex-A/Gale",5
"dme04624","dme04624","Toll and Imd signaling pathway","7/125","67/3209",0.0143252604117437,0.110304505170427,0.0889674067676716,"Myd88/dl/PGRP-LB/spz/grass/Rel/PGRP-LF",7
"dme00330","dme00330","Arginine and proline metabolism","6/125","53/3209",0.0158615797539498,0.111031058277648,0.089553416792635,"CG9629/PH4alphaEFB/PH4alphaSG1/PH4alphaMP/PH4alphaSG2/Odc1",6
"dme00240","dme00240","Pyrimidine metabolism","5/125","40/3209",0.0182502323566523,0.117105657621852,0.0944529569335514,"CG15547/CG32549/NT5E-2/su(r)/pyd3",5
"dme04080","dme04080","Neuroactive ligand-receptor interaction","6/125","56/3209",0.0204097806156854,0.120888700569829,0.0975042150870799,"Dop1R2/Dh44-R2/Dop1R1/betaTry/Dop2R/AkhR",6
