"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme03050","dme03050","Proteasome","22/143","52/3209",3.29317833883684e-17,2.56867910429273e-15,2.56521260077817e-15,"Prosbeta6/Prosbeta4/Prosalpha3/Prosalpha7/Rpn9/Prosalpha5/Prosalpha6/Prosalpha2/Prosbeta3/Rpn12/Rpt5/Rpt6/Rpn8/Rpn10/Rpt1/Prosbeta7/Prosbeta1/Prosbeta5/Rpn7/Rpt3R/Rpt2/Prosbeta2",22
"dme03040","dme03040","Spliceosome","18/143","128/3209",9.37994349559079e-06,0.000365817796328041,0.000365324115091431,"CG9344/SNRPG/LSm7/CG7483/Sf3b5/SmD1/CG10418/SmD2/U2A/Prp19/CG9667/noi/CG4849/SmE/tsu/hoip/Hsc70-4/SmF",18
"dme03013","dme03013","RNA transport","14/143","148/3209",0.00542539478783771,0.14106026448378,0.140869899754383,"RnpS1/eIF3i/Nup50/CG7483/eIF3j/Nup43/eIF2alpha/eIF2Bdelta/Upf3/tsu/Nup62/icln/Rae1/Ran",14
"dme03015","dme03015","mRNA surveillance pathway","7/143","73/3209",0.0420340339836477,0.819663662681131,0.818557503892087,"RnpS1/mts/CG7483/Pp1-87B/cbc/Upf3/tsu",7
"dme00970","dme00970","Aminoacyl-tRNA biosynthesis","6/143","64/3209",0.0633466024781447,0.967506836672557,0.966201159430083,"ValRS-m/AsnRS/TrpRS/GlnRS/ProRS-m/alpha-PheRS",6
"dme04350","dme04350","TGF-beta signaling pathway","4/143","41/3209",0.107380338875438,0.967506836672557,0.966201159430083,"vis/mts/Sara/E2f2",4
"dme03018","dme03018","RNA degradation","5/143","58/3209",0.113966748544934,0.967506836672557,0.966201159430083,"CG9344/LSm7/Mtr4/CG10418/LSm1",5
"dme04391","dme04391","Hippo signaling pathway - fly","5/143","61/3209",0.133459365316502,0.967506836672557,0.966201159430083,"mts/egr/wg/dia/tsh",5
"dme00531","dme00531","Glycosaminoglycan degradation","2/143","15/3209",0.141896128937315,0.967506836672557,0.966201159430083,"CG30059/Ect3",2
"dme00250","dme00250","Alanine, aspartate and glutamate metabolism","3/143","30/3209",0.147030599080563,0.967506836672557,0.966201159430083,"b/AdSL/CG9510",3
"dme00062","dme00062","Fatty acid elongation","2/143","16/3209",0.157642042876573,0.967506836672557,0.966201159430083,"Mtpalpha/Thiolase",2
"dme00650","dme00650","Butanoate metabolism","2/143","16/3209",0.157642042876573,0.967506836672557,0.966201159430083,"Mtpalpha/b",2
"dme01230","dme01230","Biosynthesis of amino acids","5/143","66/3209",0.168981863589687,0.967506836672557,0.966201159430083,"Tpi/Gapdh2/Shmt/Taldo/CG9510",5
"dme00071","dme00071","Fatty acid degradation","3/143","33/3209",0.17996014911716,0.967506836672557,0.966201159430083,"Mtpalpha/CG4598/Thiolase",3
"dme00190","dme00190","Oxidative phosphorylation","9/143","144/3209",0.189952889082323,0.967506836672557,0.966201159430083,"ND-B12/RFeSP/ATPsynC/ND-15/COX5A/UQCR-Q/ND-B14/ND-18/Nurf-38",9
"dme04141","dme04141","Protein processing in endoplasmic reticulum","8/143","133/3209",0.239303002916525,0.967506836672557,0.966201159430083,"S1P/Plap/TER94/CG33303/eIF2alpha/prtp/wbl/Hsc70-4",8
"dme00380","dme00380","Tryptophan metabolism","2/143","21/3209",0.239895284394893,0.967506836672557,0.966201159430083,"Mtpalpha/CG6950",2
"dme00350","dme00350","Tyrosine metabolism","2/143","22/3209",0.256703252148858,0.967506836672557,0.966201159430083,"GstZ2/PPO3",2
"dme00030","dme00030","Pentose phosphate pathway","2/143","24/3209",0.290348195372794,0.967506836672557,0.966201159430083,"Taldo/fbp",2
"dme00410","dme00410","beta-Alanine metabolism","2/143","24/3209",0.290348195372794,0.967506836672557,0.966201159430083,"Mtpalpha/b",2
