,Country,type2,tpm
1,CN-CRC,C,0.013712911
2,CN-CRC,C,0
3,CN-CRC,C,0.002514618
4,CN-CRC,C,0.063364066
5,CN-CRC,C,0.066082325
6,CN-CRC,C,0.001183608
7,CN-CRC,C,0.004492841
8,CN-CRC,C,0.01264574
9,CN-CRC,C,0.001551647
10,CN-CRC,C,0.001281046
11,CN-CRC,C,0.03166054
12,CN-CRC,C,0
13,CN-CRC,C,0
14,CN-CRC,C,0.007585127
15,CN-CRC,C,0.038119217
16,CN-CRC,C,0
17,CN-CRC,C,0
18,CN-CRC,C,0.051316343
19,CN-CRC,C,0
20,CN-CRC,C,0.029344686
21,CN-CRC,C,0.012813809
22,CN-CRC,C,0
23,CN-CRC,C,0.02810291
24,CN-CRC,C,0
25,CN-CRC,C,0.081019933
26,CN-CRC,C,0
27,CN-CRC,C,0
28,CN-CRC,C,0
29,CN-CRC,C,0
30,CN-CRC,C,0.021506793
31,CN-CRC,C,0.010350955
32,CN-CRC,C,0.018535103
33,CN-CRC,C,0.021738435
34,CN-CRC,C,0.056340383
35,CN-CRC,C,0
36,CN-CRC,C,0
37,CN-CRC,C,0.017393827
38,CN-CRC,C,0.002425439
39,CN-CRC,C,0.013762024
40,CN-CRC,C,0.001706635
41,CN-CRC,C,0.017500017
42,CN-CRC,C,0.00172209
43,CN-CRC,C,0.134091814
44,CN-CRC,C,0.155829186
45,CN-CRC,C,0
46,CN-CRC,C,0.008638573
47,CN-CRC,C,0.016880945
48,CN-CRC,C,0.005139131
49,CN-CRC,C,0
50,CN-CRC,C,0.025125396
51,CN-CRC,C,0.017406389
52,CN-CRC,C,0.055789954
53,CN-CRC,C,0.013069307
54,CN-CRC,C,0
55,CN-CRC,D,0.005374
56,CN-CRC,D,0
57,CN-CRC,D,0.000571
58,CN-CRC,D,0.003571
59,CN-CRC,D,0
60,CN-CRC,D,0
61,CN-CRC,D,0.00461
62,CN-CRC,D,0
63,CN-CRC,D,0.006416
64,CN-CRC,D,0.030326
65,CN-CRC,D,0.009839
66,CN-CRC,D,0.009851
67,CN-CRC,D,0.044036
68,CN-CRC,D,0
69,CN-CRC,D,0
70,CN-CRC,D,0
71,CN-CRC,D,0
72,CN-CRC,D,0
73,CN-CRC,D,0.008283
74,CN-CRC,D,0
75,CN-CRC,D,0.110155
76,CN-CRC,D,0
77,CN-CRC,D,0.000815
78,CN-CRC,D,0
79,CN-CRC,D,0.060636
80,CN-CRC,D,0
81,CN-CRC,D,0
82,CN-CRC,D,0.033699
83,CN-CRC,D,0
84,CN-CRC,D,0.003078
85,CN-CRC,D,0
86,CN-CRC,D,0.003086
87,CN-CRC,D,0.008216
88,CN-CRC,D,0
89,CN-CRC,D,0
90,CN-CRC,D,0.005863
91,CN-CRC,D,0.007491
92,CN-CRC,D,0.008163
93,CN-CRC,D,0.001674
94,CN-CRC,D,0
95,CN-CRC,D,0.022259
96,CN-CRC,D,0.053076
97,CN-CRC,D,0
98,CN-CRC,D,0
99,CN-CRC,D,0.000831
100,CN-CRC,D,0
101,CN-CRC,D,0.005071
102,CN-CRC,D,0
103,CN-CRC,D,0.034658
104,CN-CRC,D,0.008462
105,CN-CRC,D,0.019595
106,CN-CRC,D,0
107,CN-CRC,D,0.007879
108,CN-CRC,D,0
109,CN-CRC,D,0.028445
110,CN-CRC,D,0.014745
111,CN-CRC,D,0
112,CN-CRC,D,0.006689
113,CN-CRC,D,0.014765
114,CN-CRC,D,0
115,CN-CRC,D,0.100427
116,CN-CRC,D,0
117,CN-CRC,D,0.030151
118,CN-CRC,D,0
119,CN-CRC,D,0.006858
120,CN-CRC,D,0
121,CN-CRC,D,0.019864
122,CN-CRC,D,0
123,CN-CRC,D,0.044624
124,CN-CRC,D,0.006586
125,CN-CRC,D,0.001111
126,CN-CRC,D,0.026279
127,CN-CRC,D,0.01431
128,CN-CRC,D,0
129,CN-PHT,D,0
130,CN-PHT,D,0.01479
131,CN-PHT,D,0.002006
132,CN-PHT,D,0.000787
133,CN-PHT,D,0
134,CN-PHT,D,0.003574
135,CN-PHT,D,0.004336
136,CN-PHT,D,0.002974
137,CN-PHT,D,0.005442
138,CN-PHT,D,0.009502
139,CN-PHT,D,0
140,CN-PHT,D,0.003396
141,CN-PHT,D,0.000313
142,CN-PHT,D,0
143,CN-PHT,D,0
144,CN-PHT,D,0.002064
145,CN-PHT,D,0.001245
146,CN-PHT,D,0.009617
147,CN-PHT,D,0.002034
148,CN-PHT,D,0.001911
149,CN-PHT,D,0
150,CN-PHT,D,0.000746
151,CN-PHT,D,0.00428
152,CN-PHT,D,0.005924
153,CN-PHT,D,0.013971
154,CN-PHT,D,0.004049
155,CN-PHT,D,0.002562
156,CN-PHT,D,0.001341
157,CN-PHT,D,0.002811
158,CN-PHT,D,0.013846
159,CN-PHT,D,0
160,CN-PHT,D,0.001064
161,CN-PHT,D,0
162,CN-PHT,D,0.00127
163,CN-PHT,D,0
164,CN-PHT,D,0.00781
165,CN-PHT,D,0
166,CN-PHT,D,0.005353
167,CN-PHT,D,0
168,CN-PHT,D,0.006738
169,CN-PHT,D,0
170,CN-PHT,D,0.000316
171,CN-PHT,D,0.005937
172,CN-PHT,D,0
173,CN-PHT,D,0.008245
174,CN-PHT,D,0
175,CN-PHT,D,0.000669
176,CN-PHT,D,0.00103
177,CN-PHT,D,0.000855
178,CN-PHT,D,0.008237
179,CN-PHT,D,0.000241
180,CN-PHT,D,0.000662
181,CN-PHT,D,0
182,CN-PHT,D,0.001355
183,CN-PHT,D,0.251663
184,CN-PHT,D,0
185,CN-PHT,D,0.000207
186,CN-PHT,D,0
187,CN-PHT,D,0.003348
188,CN-PHT,D,0
189,CN-PHT,D,0.001345
190,CN-PHT,D,0.001302
191,CN-PHT,D,0.002963
192,CN-PHT,D,0.000871
193,CN-PHT,D,0
194,CN-PHT,D,0.000999
195,CN-PHT,D,0
196,CN-PHT,D,0.001444
197,CN-PHT,D,0
198,CN-PHT,D,0
199,CN-PHT,D,0
200,CN-PHT,D,0.012932
201,CN-PHT,D,0
202,CN-PHT,D,0.002397
203,CN-PHT,D,0.013473
204,CN-PHT,D,0
205,CN-PHT,D,0
206,CN-PHT,D,0
207,CN-PHT,D,0.00061
208,CN-PHT,D,0
209,CN-PHT,D,0.016825
210,CN-PHT,D,0.002621
211,CN-PHT,D,0.005988
212,CN-PHT,D,0
213,CN-PHT,D,0
214,CN-PHT,D,0.009297
215,CN-PHT,D,0
216,CN-PHT,D,0.003678
217,CN-PHT,D,0.035147
218,CN-PHT,D,0.005997
219,CN-PHT,D,0.004376
220,CN-PHT,D,0.003357
221,CN-PHT,D,0.006012
222,CN-PHT,D,0.001905
223,CN-PHT,D,0
224,CN-PHT,D,0.00289
225,CN-PHT,D,0.011135
226,CN-PHT,D,0.004194
227,CN-PHT,D,0
228,CN-PHT,D,0.010551
229,CN-PHT,D,0.008251
230,CN-PHT,D,0.004672
231,CN-PHT,D,0
232,CN-PHT,D,0
233,CN-PHT,D,0.005711
234,CN-PHT,D,0
235,CN-PHT,D,0.000969
236,CN-PHT,D,0.000693
237,CN-PHT,D,0
238,CN-PHT,D,0.001478
239,CN-PHT,D,0.001211
240,CN-PHT,D,0.0024
241,CN-PHT,D,0.002156
242,CN-PHT,D,0.00071
243,CN-PHT,D,0.012631
244,CN-PHT,D,0.006232
245,CN-PHT,D,0.004655
246,CN-PHT,D,0
247,CN-PHT,D,0.00115
248,CN-PHT,D,0.010491
249,CN-PHT,D,0.001673
250,CN-PHT,D,0
251,CN-PHT,D,0
252,CN-PHT,D,0.005774
253,CN-PHT,D,0.005302
254,CN-PHT,D,0.051711
255,CN-PHT,D,0.007783
256,CN-PHT,D,0
257,CN-PHT,D,0
258,CN-PHT,D,0
259,CN-PHT,D,0.002215
260,CN-PHT,D,0.00162
261,CN-PHT,D,0
262,CN-PHT,D,0.000479
263,CN-PHT,D,0
264,CN-PHT,D,0
265,CN-PHT,D,0.000747
266,CN-PHT,D,0.001498
267,CN-PHT,D,0
268,CN-PHT,D,0
269,CN-PHT,D,0
270,CN-PHT,D,0
271,CN-PHT,D,0.010512
272,CN-PHT,D,0.000669
273,CN-PHT,D,0.007928
274,CN-PHT,D,0.001238
275,CN-PHT,D,0.001107
276,CN-PHT,D,0
277,CN-PHT,D,0
278,CN-PHT,D,0.001472
279,CN-PHT,D,0
280,CN-PHT,D,0.003877
281,CN-PHT,D,0.003498
282,CN-PHT,D,0.026062
283,CN-PHT,D,0
284,CN-PHT,C,0
285,CN-PHT,C,0
286,CN-PHT,C,0
287,CN-PHT,C,0
288,CN-PHT,C,0.001317
289,CN-PHT,C,0.009675
290,CN-PHT,C,0.004226
291,CN-PHT,C,0.000449
292,CN-PHT,C,0.002003
293,CN-PHT,C,0.009147
294,CN-PHT,C,0.002926
295,CN-PHT,C,0.003606
296,CN-PHT,C,0
297,CN-PHT,C,0
298,CN-PHT,C,0.008988
299,CN-PHT,C,0.001469
300,CN-PHT,C,0.003074
301,CN-PHT,C,0.00521
302,CN-PHT,C,0.001555
303,CN-PHT,C,0.000643
304,CN-PHT,C,0
305,CN-PHT,C,0.003788
306,CN-PHT,C,0.006073
307,CN-PHT,C,0.004032
308,CN-PHT,C,0
309,CN-PHT,C,0.01053
310,CN-PHT,C,0.000272
311,CN-PHT,C,0.005058
312,CN-PHT,C,0.001076
313,CN-PHT,C,0.004644
314,CN-PHT,C,0.001604
315,CN-PHT,C,0.001822
316,CN-PHT,C,0
317,CN-PHT,C,0
318,CN-PHT,C,0.011247
319,CN-PHT,C,0.000783
320,CN-PHT,C,0.002399
321,CN-PHT,C,0.002061
322,CN-PHT,C,0.001146
323,CN-PHT,C,0
324,CN-PHT,C,0.00675
325,DE-CRC,D,0.07099
326,DE-CRC,D,0.003508
327,DE-CRC,D,0.027427
328,DE-CRC,D,0.003728
329,DE-CRC,D,0.001032
330,DE-CRC,D,0.014751
331,DE-CRC,D,0.006142
332,DE-CRC,D,0.01307
333,DE-CRC,D,0.006217
334,DE-CRC,D,0.007058
335,DE-CRC,D,0.004539
336,DE-CRC,D,0.02687
337,DE-CRC,D,0.008881
338,DE-CRC,D,0.00214
339,DE-CRC,D,0
340,DE-CRC,D,0
341,DE-CRC,D,0.012272
342,DE-CRC,D,0
343,DE-CRC,D,0.004785
344,DE-CRC,D,0
345,DE-CRC,D,0.000514
346,DE-CRC,D,0.004547
347,DE-CRC,C,0.005335
348,DE-CRC,C,0.002607
349,DE-CRC,C,0.026855
350,DE-CRC,C,0.004735
351,DE-CRC,C,0.002755
352,DE-CRC,C,0.007001
353,DE-CRC,C,0.002995
354,DE-CRC,C,0.004174
355,DE-CRC,C,0.00366
356,DE-CRC,C,0.005049
357,DE-CRC,C,0.004306
358,DE-CRC,C,0.024696
359,DE-CRC,C,0.005247
360,DE-CRC,C,0.010258
361,DE-CRC,C,0.007437
362,DE-CRC,C,0.006639
363,DE-CRC,C,0.001205
364,DE-CRC,C,0.012435
365,DE-CRC,C,0.013974
366,DE-CRC,C,0.007305
367,DE-CRC,C,0.015767
368,DE-CRC,C,0.014541
369,DE-CRC,C,0.001545
370,DE-CRC,C,0.003814
371,DE-CRC,C,0.019512
372,DE-CRC,C,0.003249
373,DE-CRC,C,0.011326
374,DE-CRC,C,0.001321
375,DE-CRC,C,0.007934
376,DE-CRC,C,0.011786
377,DE-CRC,C,0.003569
378,DE-CRC,C,0.004427
379,DE-CRC,C,0.006136
380,DE-CRC,C,0.00412
381,DE-CRC,C,0
382,DE-CRC,C,0.009679
383,DE-CRC,C,0.022293
384,DE-CRC,C,0.00785
385,DE-CRC,C,0.00479
386,DE-CRC,C,0.009599
387,DE-CRC,C,0.027393
388,DE-CRC,C,0.015896
389,DE-CRC,C,0.01016
390,DE-CRC,C,0.004297
391,DE-CRC,C,0.005496
392,DE-CRC,C,0.008117
393,DE-CRC,C,0.002549
394,DE-CRC,C,0.015909
395,DE-CRC,C,0.054193
396,DE-CRC,C,0.012925
397,DE-CRC,C,0
398,DE-CRC,C,0.008045
399,DE-CRC,C,0.023638
400,DE-CRC,C,0.003823
401,DE-CRC,C,0.014715
402,DE-CRC,C,0.111244
403,DE-CRC,C,0.009065
404,DE-CRC,C,0.018806
405,DE-CRC,C,0.022838
406,DE-CRC,C,0.018625
407,DE2-CRC,D,0.018441
408,DE2-CRC,D,0.014455
409,DE2-CRC,D,0.016318
410,DE2-CRC,D,0.023328
411,DE2-CRC,D,0
412,DE2-CRC,D,0.002677
413,DE2-CRC,D,0
414,DE2-CRC,D,0
415,DE2-CRC,D,0
416,DE2-CRC,D,0
417,DE2-CRC,D,0
418,DE2-CRC,D,0
419,DE2-CRC,D,0
420,DE2-CRC,D,0
421,DE2-CRC,D,0
422,DE2-CRC,D,0.006894
423,DE2-CRC,D,0.006606
424,DE2-CRC,D,0
425,DE2-CRC,D,0
426,DE2-CRC,D,0
427,DE2-CRC,D,0
428,DE2-CRC,D,0.016122
429,DE2-CRC,D,0.014243
430,DE2-CRC,D,0.012157
431,DE2-CRC,D,0.01464
432,DE2-CRC,D,0.002941
433,DE2-CRC,D,0.00278
434,DE2-CRC,D,0.002624
435,DE2-CRC,D,0.003335
436,DE2-CRC,D,0
437,DE2-CRC,D,0
438,DE2-CRC,D,0
439,DE2-CRC,D,0
440,DE2-CRC,D,0
441,DE2-CRC,D,0.002096
442,DE2-CRC,D,0
443,DE2-CRC,D,0
444,DE2-CRC,D,0
445,DE2-CRC,D,0
446,DE2-CRC,D,0
447,DE2-CRC,D,0
448,DE2-CRC,D,0.009948
449,DE2-CRC,D,0.012134
450,DE2-CRC,D,0.012143
451,DE2-CRC,D,0.008662
452,DE2-CRC,D,0.022581
453,DE2-CRC,D,0.021558
454,DE2-CRC,D,0.013939
455,DE2-CRC,D,0.017907
456,DE2-CRC,D,0
457,DE2-CRC,D,0
458,DE2-CRC,D,0
459,DE2-CRC,D,0
460,DE2-CRC,D,0.001425
461,DE2-CRC,D,0
462,DE2-CRC,D,0.001939
463,DE2-CRC,D,0
464,DE2-CRC,D,0
465,DE2-CRC,D,0.001214
466,DE2-CRC,D,0.001588
467,DE2-CRC,D,0.002106
468,DE2-CRC,D,0
469,DE2-CRC,D,0
470,DE2-CRC,D,0
471,DE2-CRC,D,0
472,DE2-CRC,D,0
473,DE2-CRC,D,0
474,DE2-CRC,D,0
475,DE2-CRC,D,0
476,DE2-CRC,D,0
477,DE2-CRC,D,0.007271
478,DE2-CRC,D,0
479,DE2-CRC,D,0.003478
480,DE2-CRC,D,0.01217
481,DE2-CRC,D,0.012021
482,DE2-CRC,D,0.006542
483,DE2-CRC,D,0.014432
484,DE2-CRC,D,0
485,DE2-CRC,D,0
486,DE2-CRC,D,0
487,DE2-CRC,D,0
488,DE2-CRC,D,0
489,DE2-CRC,D,0.003159
490,DE2-CRC,D,0
491,DE2-CRC,D,0.002968
492,DE2-CRC,D,0.064686
493,DE2-CRC,D,0.032812
494,DE2-CRC,D,0.040615
495,DE2-CRC,D,0.030365
496,DE2-CRC,D,0.00514
497,DE2-CRC,D,0.013532
498,DE2-CRC,D,0.009873
499,DE2-CRC,D,0.01935
500,DE2-CRC,D,0
501,DE2-CRC,D,0
