Name	Count	Category	Class	ProductID
清香四溢	1	身体护理	美胸	10262227124
高端大气	1	身体护理	美胸	10262227124
极其好用	1	身体护理	美胸	10262227124
没有伤害	1	身体护理	美胸	10262227124
极其好用	1	身体护理	美胸	10322059931
无副作用	1	身体护理	美胸	1776937654
饱满起来	2	身体护理	美胸	10710045108
温润不油腻	1	身体护理	美胸	10710045108
丰满弹性	1	身体护理	美胸	10710045108
清香四溢	1	身体护理	美胸	11383384349
清香怡人	7839	身体护理	套装	830486
使用感佳	851	身体护理	套装	830486
倍感舒适	783	身体护理	套装	830486
分量足够	580	身体护理	套装	830486
肌肤润滑	252	身体护理	套装	830486
操作简便	158	身体护理	套装	830486
有益身体	103	身体护理	套装	830486
漂亮好看	83	身体护理	套装	830486
高端大气	69	身体护理	套装	830486
颜色纯正	49	身体护理	套装	830486
容量充足	45	身体护理	套装	830486
工艺精湛	42	身体护理	套装	830486
清香怡人	1308	身体护理	套装	290455
滋润丝滑	388	身体护理	套装	290455
使用感佳	346	身体护理	套装	290455
倍感舒适	321	身体护理	套装	290455
分量足够	138	身体护理	套装	290455
丰富细腻	52	身体护理	套装	290455
操作简便	50	身体护理	套装	290455
赏心悦目	14	身体护理	套装	290455
清新雅致	12	身体护理	套装	290455
容量充足	10	身体护理	套装	290455
工艺精湛	9	身体护理	套装	290455
用料考究	5	身体护理	套装	290455
清香怡人	1777	身体护理	套装	845313
使用感佳	685	身体护理	套装	845313
倍感舒适	339	身体护理	套装	845313
温和无刺激	312	身体护理	套装	845313
操作简便	298	身体护理	套装	845313
清洁干净	146	身体护理	套装	845313
分量足够	117	身体护理	套装	845313
漂亮好看	49	身体护理	套装	845313
工艺精湛	46	身体护理	套装	845313
高端大气	46	身体护理	套装	845313
颜色纯正	22	身体护理	套装	845313
设计出众	17	身体护理	套装	845313
清香怡人	793	身体护理	套装	4678178
分量足够	453	身体护理	套装	4678178
使用感佳	335	身体护理	套装	4678178
倍感舒适	225	身体护理	套装	4678178
操作简便	99	身体护理	套装	4678178
漂亮好看	70	身体护理	套装	4678178
肌肤润滑	56	身体护理	套装	4678178
有益身体	49	身体护理	套装	4678178
高端大气	29	身体护理	套装	4678178
颜色纯正	25	身体护理	套装	4678178
工艺精湛	24	身体护理	套装	4678178
容量充足	11	身体护理	套装	4678178
滋润丝滑	289	身体护理	套装	1686564
使用感佳	230	身体护理	套装	1686564
清香怡人	135	身体护理	套装	1686564
倍感舒适	76	身体护理	套装	1686564
分量足够	49	身体护理	套装	1686564
吸收性强	44	身体护理	套装	1686564
无油腻感	41	身体护理	套装	1686564
不易掉皮	19	身体护理	套装	1686564
质地一流	13	身体护理	套装	1686564
时尚美观	7	身体护理	套装	1686564
容量充足	6	身体护理	套装	1686564
赏心悦目	5	身体护理	套装	1686564
清香怡人	1127	身体护理	套装	3334330
使用感佳	345	身体护理	套装	3334330
清洁干净	141	身体护理	套装	3334330
分量足够	119	身体护理	套装	3334330
操作简便	109	身体护理	套装	3334330
温和无刺激	97	身体护理	套装	3334330
倍感舒适	95	身体护理	套装	3334330
高端大气	17	身体护理	套装	3334330
漂亮好看	14	身体护理	套装	3334330
颜色纯正	11	身体护理	套装	3334330
工艺精湛	10	身体护理	套装	3334330
设计出众	10	身体护理	套装	3334330
清香怡人	1589	身体护理	套装	3923694
使用感佳	388	身体护理	套装	3923694
丰富细腻	286	身体护理	套装	3923694
清洁干净	212	身体护理	套装	3923694
清洗方便	180	身体护理	套装	3923694
操作简便	159	身体护理	套装	3923694
温和无刺激	104	身体护理	套装	3923694
漂亮好看	39	身体护理	套装	3923694
颜色纯正	24	身体护理	套装	3923694
清新雅致	16	身体护理	套装	3923694
尺寸合适	14	身体护理	套装	3923694
设计出众	12	身体护理	套装	3923694
清香怡人	975	身体护理	套装	830484
使用感佳	95	身体护理	套装	830484
倍感舒适	77	身体护理	套装	830484
分量足够	42	身体护理	套装	830484
肌肤润滑	33	身体护理	套装	830484
丰富细腻	12	身体护理	套装	830484
漂亮好看	10	身体护理	套装	830484
操作简便	10	身体护理	套装	830484
设计出众	8	身体护理	套装	830484
颜色纯正	7	身体护理	套装	830484
工艺精湛	5	身体护理	套装	830484
高端大气	3	身体护理	套装	830484
清香怡人	128	身体护理	套装	845315
使用感佳	60	身体护理	套装	845315
温和无刺激	47	身体护理	套装	845315
操作简便	29	身体护理	套装	845315
倍感舒适	26	身体护理	套装	845315
清洁干净	22	身体护理	套装	845315
高端大气	9	身体护理	套装	845315
格外清爽	7	身体护理	套装	845315
设计出众	5	身体护理	套装	845315
工艺精湛	4	身体护理	套装	845315
颜色纯正	3	身体护理	套装	845315
漂亮好看	2	身体护理	套装	845315
清香怡人	359	身体护理	套装	1463479
倍感舒适	227	身体护理	套装	1463479
使用感佳	110	身体护理	套装	1463479
分量足够	41	身体护理	套装	1463479
格外清爽	33	身体护理	套装	1463479
肌肤润滑	30	身体护理	套装	1463479
温和无刺激	29	身体护理	套装	1463479
漂亮好看	6	身体护理	套装	1463479
高端大气	6	身体护理	套装	1463479
容量充足	5	身体护理	套装	1463479
工艺精湛	4	身体护理	套装	1463479
颜色纯正	2	身体护理	套装	1463479
清香怡人	625	身体护理	套装	909718
使用感佳	84	身体护理	套装	909718
倍感舒适	54	身体护理	套装	909718
操作简便	24	身体护理	套装	909718
肌肤润滑	24	身体护理	套装	909718
丰富细腻	14	身体护理	套装	909718
清新雅致	13	身体护理	套装	909718
漂亮好看	11	身体护理	套装	909718
无毒无害	9	身体护理	套装	909718
设计出众	5	身体护理	套装	909718
工艺精湛	3	身体护理	套装	909718
尺寸合适	2	身体护理	套装	909718
清香怡人	106	身体护理	套装	845317
使用感佳	52	身体护理	套装	845317
温和无刺激	24	身体护理	套装	845317
倍感舒适	17	身体护理	套装	845317
操作简便	15	身体护理	套装	845317
分量足够	13	身体护理	套装	845317
清洁干净	11	身体护理	套装	845317
赏心悦目	6	身体护理	套装	845317
高端大气	5	身体护理	套装	845317
工艺精湛	4	身体护理	套装	845317
尺寸合适	1	身体护理	套装	845317
清香怡人	482	身体护理	套装	1071847
使用感佳	92	身体护理	套装	1071847
温和无刺激	46	身体护理	套装	1071847
倍感舒适	44	身体护理	套装	1071847
操作简便	43	身体护理	套装	1071847
清洁干净	18	身体护理	套装	1071847
有益身体	17	身体护理	套装	1071847
颜色纯正	15	身体护理	套装	1071847
漂亮好看	8	身体护理	套装	1071847
时尚美观	7	身体护理	套装	1071847
工艺精湛	6	身体护理	套装	1071847
用料考究	2	身体护理	套装	1071847
清香怡人	257	身体护理	套装	667648
倍感舒适	36	身体护理	套装	667648
使用感佳	35	身体护理	套装	667648
滋润丝滑	30	身体护理	套装	667648
清洗方便	11	身体护理	套装	667648
分量足够	8	身体护理	套装	667648
丰富细腻	6	身体护理	套装	667648
赏心悦目	1	身体护理	套装	667648
工艺精湛	1	身体护理	套装	667648
高端大气	1	身体护理	套装	667648
清新雅致	1	身体护理	套装	667648
时尚美观	1	身体护理	套装	667648
清香怡人	213	身体护理	套装	1074711
使用感佳	26	身体护理	套装	1074711
倍感舒适	13	身体护理	套装	1074711
分量足够	10	身体护理	套装	1074711
肌肤润滑	10	身体护理	套装	1074711
操作简便	8	身体护理	套装	1074711
持久性强	4	身体护理	套装	1074711
可爱精美	1	身体护理	套装	1074711
精致有范	1	身体护理	套装	1074711
清新雅致	1	身体护理	套装	1074711
款型极佳	1	身体护理	套装	1074711
用料考究	1	身体护理	套装	1074711
清香怡人	281	身体护理	套装	833249
倍感舒适	85	身体护理	套装	833249
使用感佳	58	身体护理	套装	833249
分量足够	18	身体护理	套装	833249
格外清爽	16	身体护理	套装	833249
清凉舒爽	13	身体护理	套装	833249
操作简便	10	身体护理	套装	833249
漂亮好看	6	身体护理	套装	833249
时尚美观	3	身体护理	套装	833249
质地一流	2	身体护理	套装	833249
颜色纯正	2	身体护理	套装	833249
工艺精湛	2	身体护理	套装	833249
清香怡人	165	身体护理	套装	845321
