Items	URL	Class	Class_ID	Items_ID
纸品湿巾	https://item.jd.com/11275406911.html	清洁用品	1316,1625,1671	11275406911
纸品湿巾	https://item.jd.com/1381789462.html	清洁用品	1316,1625,1671	1381789462
纸品湿巾	https://item.jd.com/10416986735.html	清洁用品	1316,1625,1671	10416986735
纸品湿巾	https://item.jd.com/1014679113.html	清洁用品	1316,1625,1671	1014679113
纸品湿巾	https://item.jd.com/1014678832.html	清洁用品	1316,1625,1671	1014678832
纸品湿巾	https://item.jd.com/1015682512.html	清洁用品	1316,1625,1671	1015682512
纸品湿巾	https://item.jd.com/1177969252.html	清洁用品	1316,1625,1671	1177969252
纸品湿巾	https://item.jd.com/1684503778.html	清洁用品	1316,1625,1671	1684503778
纸品湿巾	https://item.jd.com/1159509533.html	清洁用品	1316,1625,1671	1159509533
纸品湿巾	https://item.jd.com/25566142972.html	清洁用品	1316,1625,1671	25566142972
纸品湿巾	https://item.jd.com/1412267464.html	清洁用品	1316,1625,1671	1412267464
纸品湿巾	https://item.jd.com/32950148000.html	清洁用品	1316,1625,1671	32950148000
纸品湿巾	https://item.jd.com/1014350932.html	清洁用品	1316,1625,1671	1014350932
纸品湿巾	https://item.jd.com/1381837640.html	清洁用品	1316,1625,1671	1381837640
纸品湿巾	https://item.jd.com/1005156019.html	清洁用品	1316,1625,1671	1005156019
纸品湿巾	https://item.jd.com/13446737950.html	清洁用品	1316,1625,1671	13446737950
纸品湿巾	https://item.jd.com/1018162857.html	清洁用品	1316,1625,1671	1018162857
纸品湿巾	https://item.jd.com/1005315676.html	清洁用品	1316,1625,1671	1005315676
纸品湿巾	https://item.jd.com/13140124961.html	清洁用品	1316,1625,1671	13140124961
纸品湿巾	https://item.jd.com/1093680476.html	清洁用品	1316,1625,1671	1093680476
纸品湿巾	https://item.jd.com/1148087033.html	清洁用品	1316,1625,1671	1148087033
纸品湿巾	https://item.jd.com/18645111317.html	清洁用品	1316,1625,1671	18645111317
纸品湿巾	https://item.jd.com/10620339467.html	清洁用品	1316,1625,1671	10620339467
纸品湿巾	https://item.jd.com/13140124962.html	清洁用品	1316,1625,1671	13140124962
纸品湿巾	https://item.jd.com/1523433344.html	清洁用品	1316,1625,1671	1523433344
纸品湿巾	https://item.jd.com/1143323570.html	清洁用品	1316,1625,1671	1143323570
纸品湿巾	https://item.jd.com/17294065239.html	清洁用品	1316,1625,1671	17294065239
纸品湿巾	https://item.jd.com/13447181462.html	清洁用品	1316,1625,1671	13447181462
纸品湿巾	https://item.jd.com/13446138527.html	清洁用品	1316,1625,1671	13446138527
纸品湿巾	https://item.jd.com/1620723778.html	清洁用品	1316,1625,1671	1620723778
纸品湿巾	https://item.jd.com/1412239989.html	清洁用品	1316,1625,1671	1412239989
纸品湿巾	https://item.jd.com/10061197256.html	清洁用品	1316,1625,1671	10061197256
纸品湿巾	https://item.jd.com/1005165188.html	清洁用品	1316,1625,1671	1005165188
纸品湿巾	https://item.jd.com/13140159967.html	清洁用品	1316,1625,1671	13140159967
纸品湿巾	https://item.jd.com/1620753405.html	清洁用品	1316,1625,1671	1620753405
纸品湿巾	https://item.jd.com/1093675059.html	清洁用品	1316,1625,1671	1093675059
纸品湿巾	https://item.jd.com/1341470512.html	清洁用品	1316,1625,1671	1341470512
纸品湿巾	https://item.jd.com/10967194897.html	清洁用品	1316,1625,1671	10967194897
纸品湿巾	https://item.jd.com/10761652786.html	清洁用品	1316,1625,1671	10761652786
纸品湿巾	https://item.jd.com/27598703455.html	清洁用品	1316,1625,1671	27598703455
纸品湿巾	https://item.jd.com/10102053494.html	清洁用品	1316,1625,1671	10102053494
纸品湿巾	https://item.jd.com/27622418822.html	清洁用品	1316,1625,1671	27622418822
纸品湿巾	https://item.jd.com/13860448450.html	清洁用品	1316,1625,1671	13860448450
纸品湿巾	https://item.jd.com/1560331050.html	清洁用品	1316,1625,1671	1560331050
纸品湿巾	https://item.jd.com/18968128718.html	清洁用品	1316,1625,1671	18968128718
纸品湿巾	https://item.jd.com/26697540482.html	清洁用品	1316,1625,1671	26697540482
纸品湿巾	https://item.jd.com/13140159968.html	清洁用品	1316,1625,1671	13140159968
纸品湿巾	https://item.jd.com/11220994521.html	清洁用品	1316,1625,1671	11220994521
纸品湿巾	https://item.jd.com/1986439983.html	清洁用品	1316,1625,1671	1986439983
纸品湿巾	https://item.jd.com/26936695326.html	清洁用品	1316,1625,1671	26936695326
纸品湿巾	https://item.jd.com/10491905665.html	清洁用品	1316,1625,1671	10491905665
纸品湿巾	https://item.jd.com/17296038328.html	清洁用品	1316,1625,1671	17296038328
纸品湿巾	https://item.jd.com/1170394516.html	清洁用品	1316,1625,1671	1170394516
纸品湿巾	https://item.jd.com/13713444298.html	清洁用品	1316,1625,1671	13713444298
纸品湿巾	https://item.jd.com/1000025663.html	清洁用品	1316,1625,1671	1000025663
纸品湿巾	https://item.jd.com/1170400193.html	清洁用品	1316,1625,1671	1170400193
纸品湿巾	https://item.jd.com/26872394355.html	清洁用品	1316,1625,1671	26872394355
纸品湿巾	https://item.jd.com/1621045999.html	清洁用品	1316,1625,1671	1621045999
纸品湿巾	https://item.jd.com/17300453185.html	清洁用品	1316,1625,1671	17300453185
纸品湿巾	https://item.jd.com/26155860437.html	清洁用品	1316,1625,1671	26155860437
纸品湿巾	https://item.jd.com/13713444300.html	清洁用品	1316,1625,1671	13713444300
纸品湿巾	https://item.jd.com/27972498616.html	清洁用品	1316,1625,1671	27972498616
纸品湿巾	https://item.jd.com/17299801832.html	清洁用品	1316,1625,1671	17299801832
纸品湿巾	https://item.jd.com/27649766215.html	清洁用品	1316,1625,1671	27649766215
纸品湿巾	https://item.jd.com/27827740906.html	清洁用品	1316,1625,1671	27827740906
纸品湿巾	https://item.jd.com/1491494525.html	清洁用品	1316,1625,1671	1491494525
纸品湿巾	https://item.jd.com/13140083975.html	清洁用品	1316,1625,1671	13140083975
纸品湿巾	https://item.jd.com/27697780513.html	清洁用品	1316,1625,1671	27697780513
纸品湿巾	https://item.jd.com/18603676887.html	清洁用品	1316,1625,1671	18603676887
纸品湿巾	https://item.jd.com/27721466464.html	清洁用品	1316,1625,1671	27721466464
纸品湿巾	https://item.jd.com/13447109265.html	清洁用品	1316,1625,1671	13447109265
纸品湿巾	https://item.jd.com/18046618337.html	清洁用品	1316,1625,1671	18046618337
纸品湿巾	https://item.jd.com/10807501108.html	清洁用品	1316,1625,1671	10807501108
纸品湿巾	https://item.jd.com/27622418821.html	清洁用品	1316,1625,1671	27622418821
纸品湿巾	https://item.jd.com/10394345471.html	清洁用品	1316,1625,1671	10394345471
纸品湿巾	https://item.jd.com/10555653710.html	清洁用品	1316,1625,1671	10555653710
纸品湿巾	https://item.jd.com/1542565946.html	清洁用品	1316,1625,1671	1542565946
纸品湿巾	https://item.jd.com/13860448452.html	清洁用品	1316,1625,1671	13860448452
