Name	URL	ProductID	Category	Items_id	Class	Class_id	reallyPrice	originalPrice	description	shopId	favourableDesc1	favourableDesc2	goodRateShow	poorRateShow	generalRateShow	goodCount	generalCount	poorCount	commentCount	defaultGoodCount	averageScore
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 补铁片800mgX150粒铁、叶酸、维生素C	https://item.jd.com/1990358320.html	1990358320	纤体塑形	1990358320	身体护理	1316,1383,5164	209.00	2000.00		596436		满199元减10元，满299元减15元，满399元减20元;满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折	97	3	0	100	0	4	100	100	5
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 多元骨钙片800mgX150粒丰富矿物质易吸收	https://item.jd.com/1990358321.html	1990358321	纤体塑形	1990358321	身体护理	1316,1383,5164	209.00	2000.00		596436		满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折;满199元减10元，满299元减15元，满399元减20元	97	3	0	100	0	4	100	100	5
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 清阳丹600mgX120胶囊改善男性健康	https://item.jd.com/1990358322.html	1990358322	纤体塑形	1990358322	身体护理	1316,1383,5164	550.00	2000.00		596436		满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折;满199元减10元，满299元减15元，满399元减20元	97	3	0	100	0	4	100	100	5
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 艺真生红参浓缩液200g增强免疫力	https://item.jd.com/1990358323.html	1990358323	纤体塑形	1990358323	身体护理	1316,1383,5164	686.00	2000.00		596436		满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折;满199元减10元，满299元减15元，满399元减20元	97	3	0	100	0	4	100	100	5
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 日常调理安瓶口服液40mlX14瓶轻盈舒畅	https://item.jd.com/1990358324.html	1990358324	纤体塑形	1990358324	身体护理	1316,1383,5164	277.00	2000.00		596436		满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折;满199元减10元，满299元减15元，满399元减20元	97	3	0	100	0	4	100	100	5
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 艺真生天参液红参口服液15g×30包增强免疫力	https://item.jd.com/1990358325.html	1990358325	纤体塑形	1990358325	身体护理	1316,1383,5164	414.00	2000.00		596436		满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折;满199元减10元，满299元减15元，满399元减20元	97	3	0	100	0	4	100	100	5
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 深海鱼油软胶囊550mgX120胶囊	https://item.jd.com/1990358326.html	1990358326	纤体塑形	1990358326	身体护理	1316,1383,5164	277.00	2000.00		596436		满199元减10元，满299元减15元，满399元减20元;满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折	97	3	0	100	0	4	100	100	5
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 健康燃脂口服液25mlX30瓶燃脂瘦肚子	https://item.jd.com/1990358327.html	1990358327	纤体塑形	1990358327	身体护理	1316,1383,5164	459.00	2000.00		596436		满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折;满199元减10元，满299元减15元，满399元减20元	97	3	0	100	0	4	100	100	5
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 月见草亚麻酸胶囊500mg×120胶囊女性健康平衡	https://item.jd.com/1990358328.html	1990358328	纤体塑形	1990358328	身体护理	1316,1383,5164	277.00	2000.00		596436		满199元减10元，满299元减15元，满399元减20元;满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折	97	3	0	100	0	4	100	100	5
爱茉莉（ARITAUM） 限量折扣韩国VitalBeautie爱茉莉太平洋健康营养品VB 多元复合维生素800mgX150粒	https://item.jd.com/1990358330.html	1990358330	纤体塑形	1990358330	身体护理	1316,1383,5164	209.00	2000.00		596436		满199元减10元，满299元减15元，满399元减20元;满2件，总价打9.50折；满3件，总价打9折；满4件，总价打8.50折	97	3	0	100	0	4	100	100	5
