Shop_ID	Shop_Name	URL1	URL2	shopID	venderID
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
KDmart美妆海外专营店	KDmart美妆海外专营店	http://mall.jd.com/index-596436.html	http://mall.jd.com/index-596436.html	596436	603946
百盛化妆品专营店	百盛化妆品专营店	http://mall.jd.com/index-205764.html	https://mall.jd.com/index-205764.html	205764	214023
实丰化妆品专营店	实丰化妆品专营店	http://mall.jd.com/index-652108.html	https://mall.jd.com/index-652108.html	652108	656764
百盛化妆品专营店	百盛化妆品专营店	http://mall.jd.com/index-205764.html	https://mall.jd.com/index-205764.html	205764	214023
菲依珂官方旗舰店	菲依珂官方旗舰店	http://mall.jd.com/index-66966.html	https://feieak.jd.com	66966	70530
滕氏化妆品专营店	滕氏化妆品专营店	http://mall.jd.com/index-651818.html	https://mall.jd.com/index-651818.html	651818	656330
DKaromatherapy官方旗舰店	DKaromatherapy官方旗舰店	http://mall.jd.com/index-644249.html	https://dkhongkong.jd.com	644249	647509
滕氏仁得化妆品专营店	滕氏仁得化妆品专营店	http://mall.jd.com/index-706490.html	https://mall.jd.com/index-706490.html	706490	710742
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
米雅诗旗舰店	米雅诗旗舰店	http://mall.jd.com/index-170668.html	https://mall.jd.com/index-170668.html	170668	176701
萱晴旗舰店	萱晴旗舰店	http://mall.jd.com/index-160757.html	https://mall.jd.com/index-160757.html	160757	166168
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
威梦毅美妆专营店	威梦毅美妆专营店	http://mall.jd.com/index-215914.html	https://mall.jd.com/index-215914.html	215914	223638
雪蓝雅美妆专营店	雪蓝雅美妆专营店	http://mall.jd.com/index-25496.html	https://xiangxielishe.jd.com	25496	26030
欣丽海外专营店	欣丽海外专营店	http://mall.jd.com/index-196537.html	http://mall.jd.com/index-196537.html	196537	205347
欣丽海外专营店	欣丽海外专营店	http://mall.jd.com/index-196537.html	http://mall.jd.com/index-196537.html	196537	205347
欣丽海外专营店	欣丽海外专营店	http://mall.jd.com/index-196537.html	http://mall.jd.com/index-196537.html	196537	205347
耶迈美妆专营店	耶迈美妆专营店	http://mall.jd.com/index-133100.html	https://mall.jd.com/index-133100.html	133100	137274
爱之暄化妆品专营店	爱之暄化妆品专营店	http://mall.jd.com/index-166650.html	https://mall.jd.com/index-166650.html	166650	172455
The Beauty Club海外旗舰店	The Beauty Club海外旗舰店	http://mall.jd.com/index-591923.html	http://mall.jd.com/index-591923.html	591923	599987
The Beauty Club海外旗舰店	The Beauty Club海外旗舰店	http://mall.jd.com/index-591923.html	http://mall.jd.com/index-591923.html	591923	599987
LIKEWO海外专营店	LIKEWO海外专营店	http://mall.jd.com/index-580820.html	http://mall.jd.com/index-580820.html	580820	588718
亲咪天地海外旗舰店	亲咪天地海外旗舰店	http://mall.jd.com/index-640077.html	http://mall.jd.com/index-640077.html	640077	643963
亲咪天地海外旗舰店	亲咪天地海外旗舰店	http://mall.jd.com/index-640077.html	http://mall.jd.com/index-640077.html	640077	643963
维京海外专营店	维京海外专营店	http://mall.jd.com/index-143124.html	http://mall.jd.com/index-143124.html	143124	147934
梦诺菲化妆品专营店	梦诺菲化妆品专营店	http://mall.jd.com/index-113891.html	https://mall.jd.com/index-113891.html	113891	116724
健智美妆专营店	健智美妆专营店	http://mall.jd.com/index-151005.html	https://mall.jd.com/index-151005.html	151005	155938
健智美妆专营店	健智美妆专营店	http://mall.jd.com/index-151005.html	https://mall.jd.com/index-151005.html	151005	155938
健智美妆专营店	健智美妆专营店	http://mall.jd.com/index-151005.html	https://mall.jd.com/index-151005.html	151005	155938
健智美妆专营店	健智美妆专营店	http://mall.jd.com/index-151005.html	https://mall.jd.com/index-151005.html	151005	155938
健智美妆专营店	健智美妆专营店	http://mall.jd.com/index-151005.html	https://mall.jd.com/index-151005.html	151005	155938
健智美妆专营店	健智美妆专营店	http://mall.jd.com/index-151005.html	https://mall.jd.com/index-151005.html	151005	155938
健智美妆专营店	健智美妆专营店	http://mall.jd.com/index-151005.html	https://mall.jd.com/index-151005.html	151005	155938
健智美妆专营店	健智美妆专营店	http://mall.jd.com/index-151005.html	https://mall.jd.com/index-151005.html	151005	155938
百盛化妆品专营店	百盛化妆品专营店	http://mall.jd.com/index-205764.html	https://mall.jd.com/index-205764.html	205764	214023
雨晓个护专营店	雨晓个护专营店	http://mall.jd.com/index-212323.html	https://mall.jd.com/index-212323.html	212323	220344
以本美妆专营店	以本美妆专营店	http://mall.jd.com/index-214189.html	https://mall.jd.com/index-214189.html	214189	222051
以本美妆专营店	以本美妆专营店	http://mall.jd.com/index-214189.html	https://mall.jd.com/index-214189.html	214189	222051
以本美妆专营店	以本美妆专营店	http://mall.jd.com/index-214189.html	https://mall.jd.com/index-214189.html	214189	222051
众磊美妆专营店	众磊美妆专营店	http://mall.jd.com/index-546823.html	https://mall.jd.com/index-546823.html	546823	554986
御姿泉美妆专营店	御姿泉美妆专营店	http://mall.jd.com/index-607068.html	https://mall.jd.com/index-607068.html	607068	614554
古芳斋仁得专卖店	古芳斋仁得专卖店	http://mall.jd.com/index-622318.html	https://mall.jd.com/index-622318.html	622318	627480
帕镭化妆品专营店	帕镭化妆品专营店	http://mall.jd.com/index-589662.html	https://mall.jd.com/index-589662.html	589662	597836
帕镭化妆品专营店	帕镭化妆品专营店	http://mall.jd.com/index-589662.html	https://mall.jd.com/index-589662.html	589662	597836
帕镭化妆品专营店	帕镭化妆品专营店	http://mall.jd.com/index-589662.html	https://mall.jd.com/index-589662.html	589662	597836
帕镭化妆品专营店	帕镭化妆品专营店	http://mall.jd.com/index-589662.html	https://mall.jd.com/index-589662.html	589662	597836
御颜秀品达瑞专卖店	御颜秀品达瑞专卖店	http://mall.jd.com/index-627949.html	https://mall.jd.com/index-627949.html	627949	632755
真诚护肤专营店	真诚护肤专营店	http://mall.jd.com/index-605676.html	https://zcghhz.jd.com	605676	612807
真诚护肤专营店	真诚护肤专营店	http://mall.jd.com/index-605676.html	https://zcghhz.jd.com	605676	612807
丽天姿化妆品专营店	丽天姿化妆品专营店	http://mall.jd.com/index-648122.html	https://mall.jd.com/index-648122.html	648122	652439
白雪化妆品专营店	白雪化妆品专营店	http://mall.jd.com/index-627282.html	https://mall.jd.com/index-627282.html	627282	631816
白雪化妆品专营店	白雪化妆品专营店	http://mall.jd.com/index-627282.html	https://mall.jd.com/index-627282.html	627282	631816
白雪化妆品专营店	白雪化妆品专营店	http://mall.jd.com/index-627282.html	https://mall.jd.com/index-627282.html	627282	631816
白雪化妆品专营店	白雪化妆品专营店	http://mall.jd.com/index-627282.html	https://mall.jd.com/index-627282.html	627282	631816
白雪化妆品专营店	白雪化妆品专营店	http://mall.jd.com/index-627282.html	https://mall.jd.com/index-627282.html	627282	631816
白雪化妆品专营店	白雪化妆品专营店	http://mall.jd.com/index-627282.html	https://mall.jd.com/index-627282.html	627282	631816
久瑞化妆品专营店	久瑞化妆品专营店	http://mall.jd.com/index-651782.html	https://mall.jd.com/index-651782.html	651782	656313
达瑞化妆品专营店	达瑞化妆品专营店	http://mall.jd.com/index-651801.html	https://mall.jd.com/index-651801.html	651801	656329
春水堂美妆专营店	春水堂美妆专营店	http://mall.jd.com/index-616763.html	https://mall.jd.com/index-616763.html	616763	623010
滕氏化妆品专营店	滕氏化妆品专营店	http://mall.jd.com/index-651818.html	https://mall.jd.com/index-651818.html	651818	656330
真诚护肤专营店	真诚护肤专营店	http://mall.jd.com/index-605676.html	https://zcghhz.jd.com	605676	612807
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
图骏化妆品专营店	图骏化妆品专营店	http://mall.jd.com/index-672882.html	https://mall.jd.com/index-672882.html	672882	676968
叶美美妆专营店	叶美美妆专营店	http://mall.jd.com/index-671732.html	https://mall.jd.com/index-671732.html	671732	675910
���嗬龉俜狡旖⒌�	���嗬龉俜狡旖⒌�	http://mall.jd.com/index-673755.html	https://mall.jd.com/index-673755.html	673755	677895
悦芬兰化妆品专营店	悦芬兰化妆品专营店	http://mall.jd.com/index-657496.html	https://mall.jd.com/index-657496.html	657496	662041
爱晴美美妆专营店	爱晴美美妆专营店	http://mall.jd.com/index-691235.html	https://mall.jd.com/index-691235.html	691235	695426
天色美妆专营店	天色美妆专营店	http://mall.jd.com/index-151073.html	https://tians.jd.com	151073	155732
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
莲若美妆专营店	莲若美妆专营店	http://mall.jd.com/index-660343.html	https://mall.jd.com/index-660343.html	660343	665355
众安美妆专营店	众安美妆专营店	http://mall.jd.com/index-653394.html	https://mall.jd.com/index-653394.html	653394	658152
弘扬个护专营店	弘扬个护专营店	http://mall.jd.com/index-669709.html	https://mall.jd.com/index-669709.html	669709	674175
新朔个护专营店	新朔个护专营店	http://mall.jd.com/index-616762.html	https://mall.jd.com/index-616762.html	616762	622957
实丰化妆品专营店	实丰化妆品专营店	http://mall.jd.com/index-652108.html	https://mall.jd.com/index-652108.html	652108	656764
