Items	URL	Class	Class_ID
纸品湿巾	https://list.jd.com/list.html?cat=1316,1625,1671	清洁用品	1316,1625,1671
衣物清洁	https://list.jd.com/list.html?cat=1316,1625,1662	清洁用品	1316,1625,1662
清洁工具	https://list.jd.com/list.html?cat=1316,1625,1667	清洁用品	1316,1625,1667
驱虫用品	https://list.jd.com/list.html?cat=1316,1625,1669	清洁用品	1316,1625,1669
家庭清洁	https://list.jd.com/list.html?cat=1316,1625,1663	清洁用品	1316,1625,1663
皮具护理	https://list.jd.com/list.html?cat=1316,1625,1670	清洁用品	1316,1625,1670
一次性用品	https://list.jd.com/list.html?cat=1316,1625,11970	清洁用品	1316,1625,11970
洁面	https://list.jd.com/list.html?cat=1316,1381,1389	面部护肤	1316,1381,1389
乳液面霜	https://list.jd.com/list.html?cat=1316,1381,1391	面部护肤	1316,1381,1391
面膜	https://list.jd.com/list.html?cat=1316,1381,1392	面部护肤	1316,1381,1392
剃须	https://list.jd.com/list.html?cat=1316,1381,1416	面部护肤	1316,1381,1416
套装	https://list.jd.com/list.html?cat=1316,1381,1396	面部护肤	1316,1381,1396
精华	https://list.jd.com/list.html?cat=1316,1381,13546	面部护肤	1316,1381,13546
眼霜	https://list.jd.com/list.html?cat=1316,1381,13547	面部护肤	1316,1381,13547
卸妆	https://list.jd.com/list.html?cat=1316,1381,13544	面部护肤	1316,1381,13544
防晒	https://list.jd.com/list.html?cat=1316,1381,13548	面部护肤	1316,1381,13548
防晒隔离	https://list.jd.com/list.html?cat=1316,1381,5160	面部护肤	1316,1381,5160
T区护理	https://list.jd.com/list.html?cat=1316,1381,1395	面部护肤	1316,1381,1395
眼部护理	https://list.jd.com/list.html?cat=1316,1381,1393	面部护肤	1316,1381,1393
精华露	https://list.jd.com/list.html?cat=1316,1381,5147	面部护肤	1316,1381,5147
爽肤水	https://list.jd.com/list.html?cat=1316,1381,1390	面部护肤	1316,1381,1390
沐浴	https://list.jd.com/list.html?cat=1316,1383,1401	身体护理	1316,1383,1401
润肤	https://list.jd.com/list.html?cat=1316,1383,1404	身体护理	1316,1383,1404
颈部	https://list.jd.com/list.html?cat=1316,1383,1394	身体护理	1316,1383,1394
手足	https://list.jd.com/list.html?cat=1316,1383,2562	身体护理	1316,1383,2562
纤体塑形	https://list.jd.com/list.html?cat=1316,1383,5164	身体护理	1316,1383,5164
美胸	https://list.jd.com/list.html?cat=1316,1383,11928	身体护理	1316,1383,11928
套装	https://list.jd.com/list.html?cat=1316,1383,11929	身体护理	1316,1383,11929
精油	https://list.jd.com/list.html?cat=1316,1383,13551	身体护理	1316,1383,13551
洗发护发	https://list.jd.com/list.html?cat=1316,1383,5148	身体护理	1316,1383,5148
染发/造型	https://list.jd.com/list.html?cat=1316,1383,5149	身体护理	1316,1383,5149
香薰精油	https://list.jd.com/list.html?cat=1316,1383,5163	身体护理	1316,1383,5163
磨砂/浴盐	https://list.jd.com/list.html?cat=1316,1383,5162	身体护理	1316,1383,5162
手工/香皂	https://list.jd.com/list.html?cat=1316,1383,5161	身体护理	1316,1383,5161
洗发	https://list.jd.com/list.html?cat=1316,1383,1397	身体护理	1316,1383,1397
护发	https://list.jd.com/list.html?cat=1316,1383,1398	身体护理	1316,1383,1398
染发	https://list.jd.com/list.html?cat=1316,1383,1400	身体护理	1316,1383,1400
磨砂膏	https://list.jd.com/list.html?cat=1316,1383,1403	身体护理	1316,1383,1403
香皂	https://list.jd.com/list.html?cat=1316,1383,1402	身体护理	1316,1383,1402
牙膏/牙粉	https://list.jd.com/list.html?cat=1316,1384,1405	口腔护理	1316,1384,1405
牙刷/牙线	https://list.jd.com/list.html?cat=1316,1384,1406	口腔护理	1316,1384,1406
漱口水	https://list.jd.com/list.html?cat=1316,1384,1407	口腔护理	1316,1384,1407
套装	https://list.jd.com/list.html?cat=1316,1384,11930	口腔护理	1316,1384,11930
卫生巾	https://list.jd.com/list.html?cat=1316,1385,1408	女性护理	1316,1385,1408
卫生护垫	https://list.jd.com/list.html?cat=1316,1385,1409	女性护理	1316,1385,1409
私密护理	https://list.jd.com/list.html?cat=1316,1385,1410	女性护理	1316,1385,1410
脱毛膏	https://list.jd.com/list.html?cat=1316,1385,5150	女性护理	1316,1385,5150
其他	https://list.jd.com/list.html?cat=1316,1385,1411	女性护理	1316,1385,1411
洗发	https://list.jd.com/list.html?cat=1316,1386,11922	洗发护发	1316,1386,11922
护发	https://list.jd.com/list.html?cat=1316,1386,11923	洗发护发	1316,1386,11923
染发	https://list.jd.com/list.html?cat=1316,1386,11924	洗发护发	1316,1386,11924
造型	https://list.jd.com/list.html?cat=1316,1386,11925	洗发护发	1316,1386,11925
假发	https://list.jd.com/list.html?cat=1316,1386,4699	洗发护发	1316,1386,4699
套装	https://list.jd.com/list.html?cat=1316,1386,6739	洗发护发	1316,1386,6739
美发工具	https://list.jd.com/list.html?cat=1316,1386,13550	洗发护发	1316,1386,13550
脸部护理	https://list.jd.com/list.html?cat=1316,1386,1412	洗发护发	1316,1386,1412
香水	https://list.jd.com/list.html?cat=1316,1387,11932	香水彩妆	1316,1387,11932
