Items	URL	Class	Class_ID	Items_ID
洁面	https://item.jd.com/4477655.html	面部护肤	-1,530,174,787	4477655
洁面	https://item.jd.com/32969107688.html	面部护肤	-1,530,174,787	32969107688
洁面	https://item.jd.com/19488770202.html	面部护肤	-1,530,174,787	19488770202
洁面	https://item.jd.com/5277510.html	面部护肤	-1,530,174,787	5277510
洁面	https://item.jd.com/4955585.html	面部护肤	-1,530,174,787	4955585
洁面	https://item.jd.com/3823519.html	面部护肤	-1,530,174,787	3823519
洁面	https://item.jd.com/1986007144.html	面部护肤	-1,530,174,787	1986007144
洁面	https://item.jd.com/1933838.html	面部护肤	-1,530,174,787	1933838
洁面	https://item.jd.com/1938301.html	面部护肤	-1,530,174,787	1938301
洁面	https://item.jd.com/5020761.html	面部护肤	-1,530,174,787	5020761
洁面	https://item.jd.com/32210642617.html	面部护肤	-1,530,174,787	32210642617
洁面	https://item.jd.com/2345347.html	面部护肤	-1,530,174,787	2345347
洁面	https://item.jd.com/3087293.html	面部护肤	-1,530,174,787	3087293
洁面	https://item.jd.com/7530131.html	面部护肤	-1,530,174,787	7530131
洁面	https://item.jd.com/2990384.html	面部护肤	-1,530,174,787	2990384
洁面	https://item.jd.com/34154488596.html	面部护肤	-1,530,174,787	34154488596
洁面	https://item.jd.com/1947717.html	面部护肤	-1,530,174,787	1947717
洁面	https://item.jd.com/3806494.html	面部护肤	-1,530,174,787	3806494
乳液面霜	https://item.jd.com/2144269.html	面部护肤	-1,530,174,785	2144269
乳液面霜	https://item.jd.com/4343840.html	面部护肤	-1,530,174,785	4343840
乳液面霜	https://item.jd.com/2254554.html	面部护肤	-1,530,174,785	2254554
乳液面霜	https://item.jd.com/1938091.html	面部护肤	-1,530,174,785	1938091
乳液面霜	https://item.jd.com/1956180133.html	面部护肤	-1,530,174,785	1956180133
乳液面霜	https://item.jd.com/1995208314.html	面部护肤	-1,530,174,785	1995208314
乳液面霜	https://item.jd.com/33022501550.html	面部护肤	-1,530,174,785	33022501550
乳液面霜	https://item.jd.com/2275012.html	面部护肤	-1,530,174,785	2275012
面膜	https://item.jd.com/6181727.html	面部护肤	-1,530,174,784	6181727
面膜	https://item.jd.com/4080819.html	面部护肤	-1,530,174,784	4080819
面膜	https://item.jd.com/4343838.html	面部护肤	-1,530,174,784	4343838
面膜	https://item.jd.com/6141902.html	面部护肤	-1,530,174,784	6141902
面膜	https://item.jd.com/7592445.html	面部护肤	-1,530,174,784	7592445
面膜	https://item.jd.com/7378672.html	面部护肤	-1,530,174,784	7378672
面膜	https://item.jd.com/4858894.html	面部护肤	-1,530,174,784	4858894
面膜	https://item.jd.com/7249870.html	面部护肤	-1,530,174,784	7249870
面膜	https://item.jd.com/3823517.html	面部护肤	-1,530,174,784	3823517
面膜	https://item.jd.com/1938316.html	面部护肤	-1,530,174,784	1938316
面膜	https://item.jd.com/2108757.html	面部护肤	-1,530,174,784	2108757
面膜	https://item.jd.com/4088935.html	面部护肤	-1,530,174,784	4088935
面膜	https://item.jd.com/4556604.html	面部护肤	-1,530,174,784	4556604
面膜	https://item.jd.com/1941447.html	面部护肤	-1,530,174,784	1941447
面膜	https://item.jd.com/31635609123.html	面部护肤	-1,530,174,784	31635609123
面膜	https://item.jd.com/28957579211.html	面部护肤	-1,530,174,784	28957579211
面膜	https://item.jd.com/7378670.html	面部护肤	-1,530,174,784	7378670
面膜	https://item.jd.com/3189800.html	面部护肤	-1,530,174,784	3189800
面膜	https://item.jd.com/3969541.html	面部护肤	-1,530,174,784	3969541
面膜	https://item.jd.com/1980985787.html	面部护肤	-1,530,174,784	1980985787
面膜	https://item.jd.com/7032820.html	面部护肤	-1,530,174,784	7032820
面膜	https://item.jd.com/4255943.html	面部护肤	-1,530,174,784	4255943
面膜	https://item.jd.com/2654768.html	面部护肤	-1,530,174,784	2654768
面膜	https://item.jd.com/28266398352.html	面部护肤	-1,530,174,784	28266398352
面膜	https://item.jd.com/2108696.html	面部护肤	-1,530,174,784	2108696
