Name	URL	ProductID	Category	Items_id	Class	Class_id	reallyPrice	originalPrice	description	shopId	favourableDesc1	favourableDesc2	goodRateShow	poorRateShow	generalRateShow	goodCount	generalCount	poorCount	commentCount	defaultGoodCount	averageScore
全棉时代 婴儿纯棉柔巾 宝宝新生儿干湿两用 6袋/提x3提	https://item.jd.com/11275406911.html	11275406911	纸品湿巾	11275406911	清洁用品	1316,1625,1671	162.00	324.00	;商品名称：全棉时代 婴儿纯棉柔巾 宝宝新生儿干湿两用 6袋/提x3提;;商品编号：11275406911;;店铺：;全棉时代官方旗舰店;;商品毛重：1.65kg;;国产/进口：国产;;分类：其它;;包装：组合装;;包装单位：袋装;	20739	有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满498减10		99	1	0	180000	300	300	180000	130000	5
【王俊凯同款】全棉时代 居家纯棉柔巾 一次性洗脸巾美容洁面巾干湿两用 6袋/提*3 20*20cm	https://item.jd.com/1381789462.html	1381789462	纸品湿巾	1381789462	清洁用品	1316,1625,1671	207.00	414.00	;商品名称：【王俊凯同款】全棉时代 居家纯棉柔巾 一次性洗脸巾美容洁面巾干湿两用 6袋/提*3 20*20cm;;商品编号：1381789462;;店铺：;全棉时代官方旗舰店;;商品毛重：2.7kg;;货号：804-000084;;国产/进口：国产;;分类：其它;;包装：组合装;;包装单位：袋装;	20739	有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满498减10		99	1	0	88000	80	100	88000	70000	5
全棉时代 婴儿手口湿巾 宝宝纯棉小包湿纸巾（无酒精）4包/提*4	https://item.jd.com/10416986735.html	10416986735	纸品湿巾	10416986735	清洁用品	1316,1625,1671	99.60	199.20	;商品名称：全棉时代 婴儿手口湿巾 宝宝纯棉小包湿纸巾（无酒精）4包/提*4;;商品编号：10416986735;;店铺：;全棉时代官方旗舰店;;商品毛重：2.888kg;;商品产地：中国大陆;;货号：802-001245;;国产/进口：国产;;分类：湿巾;;包装：独立装;;包装单位：袋装;	20739	有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满498减10		99	1	0	46000	20	30	46000	37000	5
【王俊凯同款】全棉时代 居家纯棉柔巾 一次性洗脸巾美容洁面巾擦脸巾 6包/提20*20cm	https://item.jd.com/1014679113.html	1014679113	纸品湿巾	1014679113	清洁用品	1316,1625,1671	138.00	138.00	;商品名称：【王俊凯同款】全棉时代 居家纯棉柔巾 一次性洗脸巾美容洁面巾擦脸巾 6包/提20*20cm;;商品编号：1014679113;;店铺：;全棉时代官方旗舰店;;商品毛重：0.95kg;;货号：800-001836;;国产/进口：国产;;分类：其它;;包装：组合装;;包装单位：袋装;	20739	有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满498减10	每满200元，可减100元现金	99	1	0	53000	100	100	53000	33000	5
全棉时代   婴儿纯棉柔巾 非湿纸巾 干湿两用加厚款 6包/提	https://item.jd.com/1014678832.html	1014678832	纸品湿巾	1014678832	清洁用品	1316,1625,1671	108.00	108.00	;商品名称：全棉时代   婴儿纯棉柔巾 非湿纸巾 干湿两用加厚款 6包/提;;商品编号：1014678832;;店铺：;全棉时代官方旗舰店;;商品毛重：0.55kg;;货号：2100010928-000;;国产/进口：国产;;分类：其它;;包装：独立装;;包装单位：袋装;	20739	有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满498减10	每满200元，可减100元现金	99	0	1	91000	300	200	91000	54000	5
全棉时代   婴儿湿巾湿纸巾小包便携装 20*15cm 20片/袋*8袋	https://item.jd.com/1015682512.html	1015682512	纸品湿巾	1015682512	清洁用品	1316,1625,1671	80.00	80.00	;商品名称：全棉时代   婴儿湿巾湿纸巾小包便携装 20*15cm 20片/袋*8袋;;商品编号：1015682512;;店铺：;全棉时代官方旗舰店;;商品毛重：150.00g;;货号：802-001216;;国产/进口：国产;;分类：湿巾;;包装：组合装;;包装单位：袋装;	20739	有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满498减10	每满200元，可减100元现金	99	0	1	33000	70	50	33000	23000	5
全棉时代 婴儿棉柔巾 手口干湿两用巾 20*11CM 8包/提*2	https://item.jd.com/1177969252.html	1177969252	纸品湿巾	1177969252	清洁用品	1316,1625,1671	276.00	276.00	;商品名称：全棉时代 婴儿棉柔巾 手口干湿两用巾 20*11CM 8包/提*2;;商品编号：1177969252;;店铺：;全棉时代官方旗舰店;;商品毛重：1.0kg;;货号：802-001560;;国产/进口：国产;;分类：其它;;包装：组合装;;包装单位：袋装;	20739	有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满498减10	每满200元，可减100元现金	99	0	1	15000	50	40	15000	7100	5
全棉时代   全棉压缩面巾一次性洗脸巾6条/组*6组	https://item.jd.com/1684503778.html	1684503778	纸品湿巾	1684503778	清洁用品	1316,1625,1671	126.00	126.00	;商品名称：全棉时代   全棉压缩面巾一次性洗脸巾6条/组*6组;;商品编号：1684503778;;店铺：;全棉时代官方旗舰店;;商品毛重：240.00g;;货号：802-000794;;国产/进口：国产;;分类：其它;;包装：组合装;;包装单位：盒装;	20739	有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满498减10	每满200元，可减100元现金	99	0	1	6900	10	9	7000	5300	5
全棉时代   婴儿纯棉柔巾干湿两用面巾纸11*20cm 100抽/包*8	https://item.jd.com/1159509533.html	1159509533	纸品湿巾	1159509533	清洁用品	1316,1625,1671	138.00	138.00	;商品名称：全棉时代   婴儿纯棉柔巾干湿两用面巾纸11*20cm 100抽/包*8;;商品编号：1159509533;;店铺：;全棉时代官方旗舰店;;商品毛重：0.55kg;;货号：800-003228-01;;国产/进口：国产;;分类：其它;;包装：组合装;;包装单位：袋装;	20739	有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满298减5;有效期2018-12-05至2018-12-14,满498减10	每满200元，可减100元现金	99	1	0	30000	60	70	30000	20000	5
聪妈 【原木30包 1元/包】抽纸纸巾整箱家庭装批发卫生纸抽取式面巾纸餐巾纸家用纸抽母婴可用促销	https://item.jd.com/25566142972.html	25566142972	纸品湿巾	25566142972	清洁用品	1316,1625,1671	31.90	100.00	;商品名称：聪妈 【原木30包 1元/包】抽纸纸巾整箱家庭装批发卫生纸抽取式面巾纸餐巾纸家用纸抽母婴可用促销;;商品编号：25566142972;;店铺：;美家欣清洁用品专营店;;商品毛重：2.75kg;;货号：CM120230;;层数：3层;;净含量：120g以下;;分类：抽纸;;抽数：130抽以下;;包装单位：箱装;	756911			99	1	0	4700	7	10	4700	4100	5
