Name	Count	Category	Class	ProductID
清爽舒适	1271	面部护肤	洁面	11545392603
比较高档	120	面部护肤	洁面	11545392603
有效去黑头	9	面部护肤	洁面	11545392603
无副作用	8	面部护肤	洁面	11545392603
不会伤皮肤	5	面部护肤	洁面	11545392603
安全可靠	5	面部护肤	洁面	11545392603
毛孔通透	5	面部护肤	洁面	11545392603
手感上乘	4	面部护肤	洁面	11545392603
动力强劲	3	面部护肤	洁面	11545392603
使用放心	2	面部护肤	洁面	11545392603
完好无损	2	面部护肤	洁面	11545392603
香味清淡	1	面部护肤	洁面	11545392603
极其好用	703	面部护肤	洁面	758086
清爽舒适	233	面部护肤	洁面	758086
清洁效果显著	36	面部护肤	洁面	758086
补水效果棒	12	面部护肤	洁面	758086
容易清洗	8	面部护肤	洁面	758086
分量足够	6	面部护肤	洁面	758086
泡沫丰富	3	面部护肤	洁面	758086
美腻大方	2	面部护肤	洁面	758086
用后有效果	1	面部护肤	洁面	758086
泡泡控	1	面部护肤	洁面	758086
脸白嫩细腻	1	面部护肤	洁面	758086
清洁能力强	1	面部护肤	洁面	758086
用着舒服	297	面部护肤	洁面	234366
清爽舒适	174	面部护肤	洁面	234366
比较高档	55	面部护肤	洁面	234366
装得挺好	24	面部护肤	洁面	234366
敏感肌肤首选	5	面部护肤	洁面	234366
分量十足	4	面部护肤	洁面	234366
不刺眼睛	3	面部护肤	洁面	234366
清洁能力强	2	面部护肤	洁面	234366
容易清洗	1	面部护肤	洁面	234366
容量足够	1	面部护肤	洁面	234366
动力强劲	1	面部护肤	洁面	234366
极其好用	931	面部护肤	洁面	4796399
用着舒服	898	面部护肤	洁面	4796399
款式漂亮	75	面部护肤	洁面	4796399
清洁效果显著	74	面部护肤	洁面	4796399
柔润顺滑	36	面部护肤	洁面	4796399
泡泡控	6	面部护肤	洁面	4796399
干净清爽	6	面部护肤	洁面	4796399
安全可靠	3	面部护肤	洁面	4796399
动力强劲	2	面部护肤	洁面	4796399
白嫩细腻	1	面部护肤	洁面	4796399
质感极佳	1	面部护肤	洁面	4796399
使用良好	1	面部护肤	洁面	4796399
细腻柔润光滑	209	面部护肤	洁面	4477655
比较高档	58	面部护肤	洁面	4477655
装得挺好	12	面部护肤	洁面	4477655
柔润顺滑	9	面部护肤	洁面	4477655
容易清洗	7	面部护肤	洁面	4477655
敏感肌肤首选	7	面部护肤	洁面	4477655
分量足够	5	面部护肤	洁面	4477655
泡泡控	4	面部护肤	洁面	4477655
质地柔软舒适	3	面部护肤	洁面	4477655
安全环保	1	面部护肤	洁面	4477655
香味清淡	1	面部护肤	洁面	4477655
极其好用	1005	面部护肤	洁面	188550
款式漂亮	74	面部护肤	洁面	188550
高端大气	35	面部护肤	洁面	188550
容易清洗	10	面部护肤	洁面	188550
香气四溢	2	面部护肤	洁面	188550
