Name	URL	ProductID	Category	Items_id	Class	Class_id	reallyPrice	originalPrice	description	shopId	favourableDesc1	favourableDesc2	goodRateShow	poorRateShow	generalRateShow	goodCount	generalCount	poorCount	commentCount	defaultGoodCount	averageScore
	https://item.jd.com/11545392603.html	11545392603	洁面	11545392603	面部护肤	1316,1381,1389	46.00	96.00	;商品名称：悦宝莱男士洗面奶控油祛痘去黑头洁面乳去角质深层清洁清爽去油除螨虫护肤品;;商品编号：11545392603;;店铺：;悦宝莱尼伦专卖店;;商品毛重：120.00g;;商品产地：中国大陆;;货号：男士洁面乳;;适合肤质：任何肤质;;功效：深层清洁，抗痘，控油平衡，抗黑头，去角质;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	610883		满3件，立减最低1件商品价格	99	0	1	130000	600	400	130000	63000	5
芙丽芳丝（freeplus）净润洗面霜100g（洗面奶洁面乳 男女适用 氨基酸系 日本 护肤品化妆品  温和不易紧绷）	https://item.jd.com/758086.html	758086	洁面	758086	面部护肤	1316,1381,1389	140.00	150.00	;商品名称：芙丽芳丝洗面奶;;商品编号：758086;;商品毛重：140.00g;;商品产地：日本;;适合肤质：干性，油性，混合性，敏感性;;功效：深层清洁，控油平衡，细致毛孔，清洁毛孔，其它;;国产/进口：进口;;分类：洁面乳;;产品产地：日本;	1000007245	有效期2018-12-12至2018-12-13,满500减50	满299元减80元，满499元减150元	98	1	1	400000	2600	2300	410000	220000	5
法国贝德玛（Bioderma）舒妍多效洁肤液500ml （卸妆水 深层清洁 粉水 舒缓保湿 敏感肌 眼唇 官方授权）	https://item.jd.com/234366.html	234366	洁面	234366	面部护肤	1316,1381,1389	159.00	228.00	;商品名称：贝德玛卸妆水;;商品编号：234366;;商品毛重：0.542kg;;商品产地：法国;;适合肤质：任何肤质，敏感性;;产品产地：欧美;;净含量：200g/mL以上;;分类：卸妆水/卸妆液;;国产/进口：进口;;适用部位：脸部;	1000008614	有效期2018-12-12至2018-12-13,满500减50	满299元减80元，满499元减150元	99	0	1	330000	1300	1000	330000	200000	5
	https://item.jd.com/4796399.html	4796399	洁面	4796399	面部护肤	1316,1381,1389	52.00	53.00	;商品名称：珊珂洗面奶;;商品编号：4796399;;商品毛重：130.00g;;商品产地：日本;;适合肤质：任何肤质;;功效：保湿，清洁毛孔，其它;;国产/进口：进口;;分类：洁面乳;;产品产地：日本;	1000003533		每满99元，可减40元现金;购买1件可优惠换购热销商品	98	0	2	1170000	9900	4700	1190000	500000	5
	https://item.jd.com/4477655.html	4477655	洁面	4477655	面部护肤	1316,1381,1389	185.00	200.00		0		满2件，总价打5折;满299元减150元	99	1	0	140000	400	400	140000	110000	5
曼秀雷敦 男士控油抗痘洁面乳150ml（男士洗面奶控油 控油祛痘 深层清洁 持久清爽）新老包装随机发货	https://item.jd.com/188550.html	188550	洁面	188550	面部护肤	1316,1381,1389	29.80	59.90	;商品名称：曼秀雷敦洁面乳;;商品编号：188550;;商品毛重：190.00g;;商品产地：广东;;适合肤质：油性;;功效：深层清洁，抗痘，控油平衡，清洁毛孔;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	1000003180		购买1件可优惠换购热销商品	98	1	1	1010000	12000	7000	1030000	510000	5
欧莱雅LOREAL 男士火山岩控油清痘洁面膏100ml（洗面奶男 清洁毛孔 祛痘 男士洗面奶）	https://item.jd.com/840001.html	840001	洁面	840001	面部护肤	1316,1381,1389	38.80	41.00	;商品名称：欧莱雅洁面膏;;商品编号：840001;;商品毛重：130.00g;;商品产地：江苏苏州;;适合肤质：任何肤质，油性;;功效：深层清洁，抗痘，控油平衡;;国产/进口：国产;;分类：洁面霜/膏;;产品产地：中国大陆;	1000002662		每满199元，可减100元现金，最多可减3000元;每满129元，可减30元现金	98	1	1	1200000	11000	7700	1220000	650000	5
SK-II护肤洁面霜120g（神仙水洗面奶 洁面乳 洗面 补水保湿 ）	https://item.jd.com/2223520.html	2223520	洁面	2223520	面部护肤	1316,1381,1389	460.00	465.00	;商品名称：SK-II洁面;;商品编号：2223520;;商品毛重：170.00g;;商品产地：日本;;适合肤质：干性，油性，混合性，敏感性;;功效：深层清洁，补水，保湿，细致毛孔;;国产/进口：进口;;分类：洁面乳;;产品产地：日本;	1000009821		满1199元、1899元可得相应赠品，赠完即止，请在购物车点击领取	99	1	0	20000	80	90	20000	14000	5
	https://item.jd.com/5378374.html	5378374	洁面	5378374	面部护肤	1316,1381,1389	68.00	106.00	;商品名称：珊珂洗面奶套装;;商品编号：5378374;;商品毛重：290.00g;;商品产地：日本;;适合肤质：任何肤质;;功效：深层清洁，保湿，其它;;国产/进口：进口;;分类：洁面乳;;产品产地：日本;	1000003533		购买1件可优惠换购热销商品	99	0	1	320000	500	300	320000	250000	5
	https://item.jd.com/4796431.html	4796431	洁面	4796431	面部护肤	1316,1381,1389	66.90	106.00	;商品名称：珊珂洗面奶套装;;商品编号：4796431;;商品毛重：290.00g;;商品产地：日本;;适合肤质：任何肤质;;功效：深层清洁，保湿，清洁毛孔，其它;;国产/进口：进口;;分类：洁面乳;;产品产地：日本;	1000003533		购买1件可优惠换购热销商品	99	0	1	320000	500	300	320000	250000	5
丝塔芙Cetaphil洁面乳591ml（化妆品护肤品 洗面奶 洁面膏 男女适用 温和 补水 保湿 敏感肌）	https://item.jd.com/6841113.html	6841113	洁面	6841113	面部护肤	1316,1381,1389	129.00	188.00	;商品名称：丝塔芙洁面乳;;商品编号：6841113;;商品毛重：0.65kg;;商品产地：江苏;;适合肤质：任何肤质;;功效：深层清洁，补水，保湿，细致毛孔，清洁毛孔;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	1000007163	有效期2018-12-12至2018-12-13,满500减50	每满199元，可减100元现金	97	1	2	470000	7100	4200	490000	240000	5
妮维雅(NIVEA)男士净油精华抗痘洁面炭泥150ml*2套装（洗面奶 控油清透毛孔）	https://item.jd.com/4169336.html	4169336	洁面	4169336	面部护肤	1316,1381,1389	49.90	89.00	;商品名称：妮维雅洁面套装;;商品编号：4169336;;商品毛重：380.00g;;商品产地：中国上海;;适合肤质：任何肤质;;功效：深层清洁;;国产/进口：国产;;分类：组合装;;产品产地：中国大陆;	1000003747			99	0	1	300000	1000	800	310000	200000	5
欧莱雅LOREAL 男士控油炭爽抗黑头洁面膏100ml（洗面奶男 去黑头 收缩毛孔 男士洗面奶）	https://item.jd.com/598706.html	598706	洁面	598706	面部护肤	1316,1381,1389	38.80	41.00	;商品名称：欧莱雅洁面膏;;商品编号：598706;;商品毛重：120.00g;;商品产地：中国江苏;;适合肤质：任何肤质;;功效：补水，保湿，控油平衡，抗黑头;;国产/进口：国产;;分类：洁面霜/膏;;产品产地：中国大陆;	1000002662		每满199元，可减100元现金，最多可减3000元;每满129元，可减30元现金	98	0	2	2500000	20000	10000	2530000	1280000	5
	https://item.jd.com/11318325459.html	11318325459	洁面	11318325459	面部护肤	1316,1381,1389	54.90	119.00	;商品名称：【脸上瘙痒出油长痘，螨虫在作怪】季德胜百部除螨祛痘洗面奶 氨基酸洗面奶男士 女士去螨虫去角质100g;;商品编号：11318325459;;店铺：;季德胜官方旗舰店;;商品毛重：100.00g;;商品产地：中国大陆;;货号：jmr001;;适合肤质：任何肤质，油性，混合性，敏感性;;功效：深层清洁，抗痘，控油平衡，细致毛孔，清洁毛孔，去角质，其它;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	76968		满199元减100元，满299元减150元	99	0	1	48000	200	100	48000	35000	5
欧莱雅（LOREAL）复颜洁面乳125ml （氨基酸洗面奶女  深层清洁彩妆 抗皱紧致 回复弹性 男女通用）	https://item.jd.com/762158.html	762158	洁面	762158	面部护肤	1316,1381,1389	138.00	142.00	;商品名称：欧莱雅洁面乳;;商品编号：762158;;商品毛重：150.00g;;商品产地：江苏苏州;;适合肤质：任何肤质;;功效：深层清洁，细致毛孔，其它;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	1000002662		每满299元，可减120元现金，最多可减1000元	99	0	1	790000	4200	2600	800000	420000	5
美国elta MD氨基酸泡沫洁面乳深层清洁控油保湿洗面奶 207ml 1瓶	https://item.jd.com/32969107688.html	32969107688	洁面	32969107688	面部护肤	1316,1381,1389	148.00	398.00		120379	有效期2018-12-06至2018-12-14,满21减20;有效期2018-12-12至2018-12-13,满199减10;有效期2018-12-12至2018-12-15,满199减10		98	2	0	5700	20	40	5700	4600	5
Elta MD 氨基酸泡沫洗面奶 卸妆洁面二合一 敏感肌可用 207ml	https://item.jd.com/19488770202.html	19488770202	洁面	19488770202	面部护肤	1316,1381,1389	149.00	330.00		653972	有效期2018-12-06至2018-12-14,满299减15;有效期2018-12-06至2018-12-14,满399减25		99	1	0	24000	60	90	24000	19000	5
	https://item.jd.com/5277510.html	5277510	洁面	5277510	面部护肤	1316,1381,1389	939.00	1512.00		0	有效期2018-12-10至2018-12-12,满99减88	每满199元，可减100元现金，最多可减200元	99	1	0	5600	10	10	5600	4300	5
悦诗风吟Innisfree绿茶精萃保湿洁面乳150ml（18年新升级版绿茶洁面膏 京东自营 去黑头角质 洗面奶）	https://item.jd.com/7189886.html	7189886	洁面	7189886	面部护肤	1316,1381,1389	55.00	56.00	;商品名称：悦诗风吟洁面;;商品编号：7189886;;商品毛重：180.00g;;商品产地：中国上海;;适合肤质：任何肤质;;功效：补水，保湿;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	1000014041	有效期2018-12-12至2018-12-13,满500减50	满199元、300元、500元可得相应赠品，赠完即止，请在购物车点击领取;满199元、399元可得相应赠品，赠完即止，请在购物车点击领取	99	0	1	410000	1200	900	410000	320000	5
日本珂润（Curel）润浸保湿洁颜泡沫 150ml（补水保湿洁面乳 不刺激 深层清洁 男女适用 花王 原装进口）	https://item.jd.com/1750038.html	1750038	洁面	1750038	面部护肤	1316,1381,1389	98.00	108.00	;商品名称：珂润洁面泡沫;;商品编号：1750038;;商品毛重：250.00g;;商品产地：日本;;适合肤质：敏感性;;适用性别：通用;;功效：深层清洁，清洁毛孔，其它;;分类：泡沫/摩丝;;质地：泡沫/慕斯;;产品产地：日本;	1000007395		满299元减80元，满499元减150元	99	0	1	240000	600	400	240000	170000	5
欧莱雅LOREAL 男士水能润泽双效洁面膏 100ml（洗面奶男 补水 适合干燥肌 男士洗面奶）	https://item.jd.com/1482527.html	1482527	洁面	1482527	面部护肤	1316,1381,1389	38.80	41.00	;商品名称：欧莱雅洁面膏;;商品编号：1482527;;商品毛重：120.00g;;商品产地：中国苏州;;适合肤质：任何肤质;;功效：补水，保湿;;国产/进口：国产;;分类：洁面霜/膏;;产品产地：中国大陆;	1000002662		每满199元，可减100元现金，最多可减3000元;每满129元，可减30元现金	99	0	1	1450000	6200	4100	1460000	870000	5
	https://item.jd.com/6603114.html	6603114	洁面	6603114	面部护肤	1316,1381,1389	69.00	138.00	;商品名称：米蓝��洁面皂;;商品编号：6603114;;商品毛重：190.00g;;商品产地：以色列凯萨丽亚市;;适合肤质：任何肤质;;功效：深层清洁，抗痘，控油平衡;;国产/进口：进口;;分类：洁面皂;;产品产地：其它;	1000101686		满199元减100元;每满199元，可减100元现金，最多可减500元	98	0	2	54000	400	200	55000	36000	5
	https://item.jd.com/4955585.html	4955585	洁面	4955585	面部护肤	1316,1381,1389	37.00	49.00		1000106283	有效期2018-12-10至2018-12-12,满299减40	满2件，总价打5折;每满199元，可减100元现金，最多可减200元	99	0	1	210000	400	400	210000	160000	5
	https://item.jd.com/3823519.html	3823519	洁面	3823519	面部护肤	1316,1381,1389	99.00	158.00		1000091210	有效期2018-12-10至2018-12-12,满299减40	满2件，总价打5折;每满199元，可减100元现金，最多可减200元	99	0	1	320000	800	700	320000	250000	5
欧莱雅LOREAL 男士劲能深层净化洁面膏 100ml（洗面奶男 8重功效 去角质 男士洗面奶）	https://item.jd.com/187698.html	187698	洁面	187698	面部护肤	1316,1381,1389	38.80	41.00	;商品名称：欧莱雅洁面膏;;商品编号：187698;;商品毛重：120.00g;;商品产地：江苏苏州;;适合肤质：任何肤质;;功效：深层清洁，去角质;;国产/进口：国产;;分类：洁面霜/膏;;产品产地：中国大陆;	1000002662		每满199元，可减100元现金，最多可减3000元;每满129元，可减30元现金	98	0	2	1990000	20000	8800	2020000	790000	5
	https://item.jd.com/615036.html	615036	洁面	615036	面部护肤	1316,1381,1389	20.80	38.10	;商品名称：旁氏洁面乳;;商品编号：615036;;商品毛重：170.00g;;商品产地：合肥;;适合肤质：任何肤质;;功效：深层清洁，保湿，清洁毛孔;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	1000128821		满59元另加59元即赠热销商品，赠完即止，请在购物车点击领取	99	0	1	370000	900	500	370000	250000	5
Elta MD 美国进口氨基酸泡沫洗面奶男女 温和弱酸性可卸妆洁面乳 孕妇敏感肌可用 207ml	https://item.jd.com/1986007144.html	1986007144	洁面	1986007144	面部护肤	1316,1381,1389	129.00	158.00		606050	有效期2018-12-10至2018-12-16,满199减10;有效期2018-10-25至2019-01-22,满398减20;有效期2018-10-27至2019-01-03,满598减30		99	1	0	6900	20	30	7000	5600	5
欧莱雅LOREAL 男士控油炭爽双效洁面膏 100ml（洗面奶男 去黑头 收缩毛孔 男士洗面奶）	https://item.jd.com/1481064.html	1481064	洁面	1481064	面部护肤	1316,1381,1389	38.80	41.00	;商品名称：欧莱雅洁面膏;;商品编号：1481064;;商品毛重：130.00g;;商品产地：中国苏州;;适合肤质：任何肤质，油性;;功效：深层清洁，抗痘，控油平衡;;国产/进口：国产;;分类：洁面霜/膏;;产品产地：中国大陆;	1000002662		每满199元，可减100元现金，最多可减3000元;每满129元，可减30元现金	98	0	2	2500000	20000	10000	2530000	1280000	5
	https://item.jd.com/10746984160.html	10746984160	洁面	10746984160	面部护肤	1316,1381,1389	119.00	450.00	;商品名称：【京东秒杀】芙丽芳丝freeplus洗面奶女深层清洁泡沫氨基酸温和洁面乳男专柜特价 净润洗面霜100g敏感肌适用;;商品编号：10746984160;;店铺：;翡弈美妆专营店;;商品毛重：280.00g;;商品产地：日本;;适合肤质：任何肤质;;功效：深层清洁，保湿;;国产/进口：进口;;分类：洁面乳;;产品产地：日本;	150717	有效期2018-12-06至2018-12-13,满1000减100	满119元减14元	99	1	0	63000	90	100	63000	51000	5
	https://item.jd.com/7507183.html	7507183	洁面	7507183	面部护肤	1316,1381,1389	54.90	258.00	;商品名称：马丁洁面乳;;商品编号：7507183;;商品毛重：190.00g;;商品产地：中国大陆;;适合肤质：任何肤质，干性，油性，混合性;;功效：深层清洁，补水，保湿，控油平衡，细致毛孔，清洁毛孔，抗黑头;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	1000116944	有效期2018-12-12至2018-12-14,满149减100;有效期2018-12-06至2018-12-13,满168减20;有效期2018-12-10至2018-12-13,满199减50	购买1件可优惠换购热销商品;满2元即赠热销商品，赠完即止	99	0	1	9900	30	20	9900	7500	5
	https://item.jd.com/4796411.html	4796411	洁面	4796411	面部护肤	1316,1381,1389	52.00	53.00	;商品名称：珊珂洗面奶;;商品编号：4796411;;商品毛重：140.00g;;商品产地：日本;;适合肤质：任何肤质;;功效：深层清洁，保湿;;国产/进口：进口;;分类：洁面乳;;产品产地：日本;	1000003533		每满99元，可减40元现金;购买1件可优惠换购热销商品	98	0	2	1170000	9900	4700	1190000	500000	5
	https://item.jd.com/100001889124.html	100001889124	洁面	100001889124	面部护肤	1316,1381,1389	72.50	105.00	;商品名称：珊珂洁面套装;;商品编号：100001889124;;商品毛重：0.834kg;;商品产地：日本;;适合肤质：任何肤质;;功效：深层清洁，清洁毛孔，其它;;国产/进口：进口;;分类：洁面乳;;产品产地：日本;	1000003533	有效期2018-12-06至2018-12-12,满11减10	购买1件可优惠换购热销商品	99	0	1	320000	500	300	320000	250000	5
欧莱雅（LOREAL）清润葡萄籽水嫩净透光采洁面乳125ml(氨基酸洗面奶女 改善暗沉清洁残装 补水保湿 男女通用)	https://item.jd.com/3709799.html	3709799	洁面	3709799	面部护肤	1316,1381,1389	108.00	111.00	;商品名称：欧莱雅洁面乳;;商品编号：3709799;;商品毛重：150.00g;;商品产地：江苏苏州;;适合肤质：任何肤质;;功效：补水，保湿，控油平衡;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	1000002662		每满299元，可减120元现金，最多可减1000元	99	0	1	620000	2600	1900	630000	360000	5
	https://item.jd.com/4796415.html	4796415	洁面	4796415	面部护肤	1316,1381,1389	65.00	66.00	;商品名称：珊珂洗面奶;;商品编号：4796415;;商品毛重：220.00g;;商品产地：日本;;国产/进口：进口;;分类：洁面乳;;功效：保湿，清洁毛孔，其它;;产品产地：日本;	1000003533		购买1件可优惠换购热销商品;每满99元，可减40元现金	98	0	2	1170000	9900	4700	1190000	500000	5
兰芝(LANEIGE)多效净肤洁颜膏180ml (深层清洁 补水保湿洗面奶)	https://item.jd.com/2772111.html	2772111	洁面	2772111	面部护肤	1316,1381,1389	205.00	206.00	;商品名称：兰芝洁颜膏;;商品编号：2772111;;商品毛重：240.00g;;商品产地：韩国;;国产/进口：进口;;分类：洁面霜/膏;;功效：深层清洁，去角质;;产品产地：韩国;	1000002576	有效期2018-12-12至2018-12-13,满500减50	满300元减50元，满399元减80元，满499元减100元，得赠品，赠完即止，请在购物车点击领取	99	0	1	35000	100	100	35000	23000	5
欧莱雅(LOREAL)多重防护隔离露 SPF50+ PA++++30ml (女士防晒隔离 柔紫 抵御紫外线 预防光老化 色斑  暗沉)	https://item.jd.com/819594.html	819594	洁面	819594	面部护肤	1316,1381,1389	149.00	160.00	;商品名称：欧莱雅隔离露;;商品编号：819594;;商品毛重：60.00g;;商品产地：中国江苏;;PA值：PA++++及以上;;国产/进口：国产;;防晒指数：SPF50+;;功效：防晒，隔离，其它;;产品产地：中国大陆;;净含量：30mL/g及以下;;分类：防晒霜/乳;;适用人群：成人;;适合肤质：任何肤质;	1000002662	有效期2018-12-10至2018-12-13,满300减50	每满299元，可减120元现金，最多可减1000元	98	0	2	140000	1100	500	140000	72000	5
玉兰油OLAY洗面奶新生塑颜焕活深彻洁面乳125g（深层补水清洁 细致毛孔 男女通用 新老包装随机发）	https://item.jd.com/819155.html	819155	洁面	819155	面部护肤	1316,1381,1389	98.00	150.00	;商品名称：玉兰油洁面乳;;商品编号：819155;;商品毛重：150.00g;;商品产地：广州;;适合肤质：任何肤质;;功效：深层清洁，细致毛孔，其它;;国产/进口：国产;;分类：洁面乳;;产品产地：中国大陆;	1000002499	有效期2018-12-01至2018-12-15,满199减30;有效期2018-12-01至2018-12-15,满399减50;有效期2018-12-01至2018-12-15,满898减150		99	0	1	270000	700	500	270000	230000	5
