Name	Count	Category	Class	ProductID
极其好用	2	面部护肤	乳液面霜	21132781777
倍感光滑	1	面部护肤	乳液面霜	21132781777
补水保湿	1	面部护肤	乳液面霜	21132781777
紧致光滑	1	面部护肤	乳液面霜	21132781777
高端大气	1	面部护肤	乳液面霜	21132781777
倍感光滑	4	面部护肤	乳液面霜	14815765829
用着舒服	2	面部护肤	乳液面霜	14815765829
冰凉爽滑	2	面部护肤	乳液面霜	14815765829
用后清凉	1	面部护肤	乳液面霜	14815765829
无不良反应	1	面部护肤	乳液面霜	14815765829
高端大气	1	面部护肤	乳液面霜	14815765829
极其好用	1	面部护肤	乳液面霜	14815765829
款式漂亮	1	面部护肤	乳液面霜	14815765829
倍感光滑	1	面部护肤	乳液面霜	10443794453
水嫩光滑	1	面部护肤	乳液面霜	10443794453
极其好用	1	面部护肤	乳液面霜	10443794453
细腻光滑	1	面部护肤	乳液面霜	10443794453
极其好用	1	面部护肤	乳液面霜	17243315951
清爽舒适	1	面部护肤	乳液面霜	25473617911
极其好用	2	面部护肤	乳液面霜	10375129010
营养滋润	1	面部护肤	乳液面霜	10375129010
倍感光滑	1	面部护肤	乳液面霜	10375129010
无刺激性	1	面部护肤	乳液面霜	10375129010
深润滋养	1	面部护肤	乳液面霜	10375129010
清爽舒适	1	面部护肤	乳液面霜	5933895
比较高档	1	面部护肤	乳液面霜	5933895
极其好用	11	面部护肤	乳液面霜	10422533642
温润不油腻	7	面部护肤	乳液面霜	10422533642
倍感光滑	1	面部护肤	乳液面霜	10422533642
温和滋润	1	面部护肤	乳液面霜	10422533642
用着舒服	1	面部护肤	乳液面霜	10422533642
清香四溢	1	面部护肤	乳液面霜	10422533642
高端大气	1	面部护肤	乳液面霜	10422533642
分量足够	1	面部护肤	乳液面霜	10422533642
极其好用	1	面部护肤	乳液面霜	1970553814
极其好用	7	面部护肤	乳液面霜	1979515641
无副作用	1	面部护肤	乳液面霜	1979515641
涂上冰凉	1	面部护肤	乳液面霜	1979515641
细腻光滑	1	面部护肤	乳液面霜	1964056687
极其好用	1	面部护肤	乳液面霜	1124661283
用着舒服	210	面部护肤	乳液面霜	1293388
清爽舒适	69	面部护肤	乳液面霜	1293388
装得挺好	19	面部护肤	乳液面霜	1293388
高端大气	10	面部护肤	乳液面霜	1293388
质地柔软舒适	2	面部护肤	乳液面霜	1293388
分量十足	2	面部护肤	乳液面霜	1293388
明显见效	1	面部护肤	乳液面霜	1293388
柔润顺滑	1	面部护肤	乳液面霜	1293388
皮肤变好	1	面部护肤	乳液面霜	1293388
安全可靠	1	面部护肤	乳液面霜	1293388
高端大气	1	面部护肤	乳液面霜	34247573719
分量足够	1	面部护肤	乳液面霜	34247573719
滋润柔滑	1	面部护肤	乳液面霜	34247573719
温润不油腻	9	面部护肤	乳液面霜	3722468
极其好用	4	面部护肤	乳液面霜	3722468
补水效果棒	3	面部护肤	乳液面霜	3722468
用着舒服	1	面部护肤	乳液面霜	3722468
柔润不干	1	面部护肤	乳液面霜	3722468
高端大气	1	面部护肤	乳液面霜	13131136795
