Name	URL	ProductID	Category	Items_id	Class	Class_id	reallyPrice	originalPrice	description	shopId	favourableDesc1	favourableDesc2	goodRateShow	poorRateShow	generalRateShow	goodCount	generalCount	poorCount	commentCount	defaultGoodCount	averageScore
玉兰油（OLAY）多效修护霜50g保湿滋润霜白提亮肤色提拉紧致护肤化妆品 50ml	https://item.jd.com/23549406467.html	23549406467	乳液面霜	23549406467	面部护肤	1316,1381,1391	99.00	150.00	;商品名称：玉兰油（OLAY）多效修护霜50g保湿滋润霜白提亮肤色提拉紧致护肤化妆品 50ml;;商品编号：23549406467;;店铺：;玉兰油博尼达专卖店;;商品毛重：500.00g;;适合肤质：任何肤质;;功效：补水，保湿，滋润，美白，修护，提拉紧致，淡斑;;国产/进口：国产;;净含量：31g/mL-50g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	744254	有效期2018-12-11至2018-12-15,满199减10;有效期2018-12-11至2018-12-15,满469减30;有效期2018-11-22至2018-12-21,满999减50	满29元以折扣价在购物车换购热销商品，满49元以折扣价在购物车换购热销商品，满59元以折扣价在购物车换购热销商品	99	1	0	1100	1	4	1100	900	5
颐莲（RELLET）多重复合蜗牛修护霜50g 补水保湿亮肤修护肌肤控油滋养	https://item.jd.com/10641630920.html	10641630920	乳液面霜	10641630920	面部护肤	1316,1381,1391	69.00	148.00	;商品名称：颐莲（RELLET）多重复合蜗牛修护霜50g 补水保湿亮肤修护肌肤控油滋养;;商品编号：10641630920;;店铺：;颐莲旗舰店;;商品毛重：50.00g;;商品产地：中国大陆;;货号：1912004;;适合肤质：任何肤质;;功效：补水，保湿，滋润，修护;;国产/进口：国产;;净含量：31g/mL-50g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	18574	有效期2018-12-13至2018-12-14,满99减10;有效期2018-12-13至2018-12-14,满199减20;有效期2018-12-13至2018-12-14,满399减30	满299元减30元，满599元减60元	99	0	1	2200	5	1	2300	1600	5
	https://item.jd.com/100001408292.html	100001408292	乳液面霜	100001408292	面部护肤	1316,1381,1391	78.00	199.00	;商品名称：悦宝莱祛痘凝胶;;商品编号：100001408292;;商品毛重：30.00g;;商品产地：广东省;;适合肤质：任何肤质;;功效：抗痘，控油平衡，细致毛孔;;国产/进口：国产;;净含量：5g/mL-30g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	1000101676		满99元减20元;满68元减12元，满99元减20元	99	1	0	9800	8	10	9900	500	5
资生堂肌肤之钥（Cle de Peau）CPB/CDP 乳液/面霜 光彩水乳套装 光采夜间修护乳霜 夜霜50ml	https://item.jd.com/27182610421.html	27182610421	乳液面霜	27182610421	面部护肤	1316,1381,1391	778.00	7999.00		777129	有效期2018-10-28至2018-12-31,满999减30;有效期2018-10-28至2018-12-31,满1999减60	满3099元即赠热销商品，赠完即止，请在购物车点击领取	98	2	0	400	2	5	400	300	5
欧诗漫(OSM)面霜保湿补水女 珍珠水活奇迹高保湿凝霜50g （温和日霜晚霜紧致肌肤男护肤化妆品）	https://item.jd.com/8464839.html	8464839	乳液面霜	8464839	面部护肤	1316,1381,1391	163.00	165.00	;商品名称：欧诗漫面霜;;商品编号：8464839;;商品毛重：230.00g;;商品产地：中国浙江;;货号：82016;;适合肤质：任何肤质;;功效：补水，保湿，滋润，其它;;国产/进口：国产;;净含量：31g/mL-50g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	1000014349	有效期2018-12-10至2018-12-13,满159减20;有效期2018-12-10至2018-12-13,满300减50;有效期2018-12-11至2018-12-13,满300减50	每满299元，可减120元现金，最多可减1000元;满3件，立减最低1件商品价格	100	0	0	30	0	0	30	30	5
	https://item.jd.com/10688335176.html	10688335176	乳液面霜	10688335176	面部护肤	1316,1381,1391	198.00	240.00	;商品名称：芙丽芳丝freeplus保湿修护面霜补水锁水滋养修复日本补水滋润敏感肌肤护肤 40g;;商品编号：10688335176;;店铺：;翡弈美妆专营店;;商品毛重：200.00g;;适合肤质：任何肤质;;功效：补水，保湿，修护;;国产/进口：进口;;净含量：31g/mL-50g/mL;;分类：面霜;;适用人群：成人;;产品产地：日本;	150717	有效期2018-12-06至2018-12-13,满1000减100	满99元减10元，满198元减20元，满399元减45元	99	1	0	600	1	2	600	500	5
迷奇（MIRACLE）珍珠霜55g（嫩白补水面霜 改善暗沉 提亮肤色）男女国货护肤品	https://item.jd.com/1012275110.html	1012275110	乳液面霜	1012275110	面部护肤	1316,1381,1391	96.60	138.00	;商品名称：迷奇（MIRACLE）珍珠霜55g（嫩白补水面霜 改善暗沉 提亮肤色）男女国货护肤品;;商品编号：1012275110;;店铺：;迷奇旗舰店;;商品毛重：55.00g;;适合肤质：任何肤质;;功效：补水，保湿，滋润，提拉紧致;;国产/进口：国产;;净含量：31g/mL-50g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	27914			99	0	1	1100	8	2	1200	800	5
大宝SOD蜜200ml+SOD滋养手霜60g 滋养保湿面霜男女通用护肤品滋养手霜 大宝SOD蜜200ml+滋养手霜60g	https://item.jd.com/25558429581.html	25558429581	乳液面霜	25558429581	面部护肤	1316,1381,1391	20.90	37.90	;商品名称：大宝SOD蜜200ml+SOD滋养手霜60g 滋养保湿面霜男女通用护肤品滋养手霜 大宝SOD蜜200ml+滋养手霜60g;;商品编号：25558429581;;店铺：;大宝旗舰店;;商品毛重：260.00g;;适合肤质：任何肤质;;功效：补水，其它;;国产/进口：国产;;净含量：200g/mL以上;;分类：乳液;;适用人群：成人;;产品产地：中国大陆;	759677	有效期2018-11-22至2019-02-19,满79减5;有效期2018-11-22至2019-02-19,满129减10;有效期2018-11-22至2019-02-19,满179减15	满99元即赠热销商品，赠完即止，满199元即赠热销商品，赠完即止，请在购物车点击领取;满28元以折扣价在购物车换购热销商品	99	0	1	800	2	0	800	500	5
海蓝之谜（LA MER） LA MER 海蓝之谜基础修护系列 精华面霜3.5ml(小样)	https://item.jd.com/1951435465.html	1951435465	乳液面霜	1951435465	面部护肤	1316,1381,1391	95.00	21000.00		141918	有效期2018-12-06至2018-12-13,满299减10	满69元以折扣价在购物车换购热销商品，满109元以折扣价在购物车换购热销商品，满199元以折扣价在购物车换购热销商品	95	4	1	200	3	7	200	70	5
百雀羚面霜经典保湿滋养面霜女国货护肤品老牌补水保湿滋润素颜霜官方旗舰店官网 3瓶装送30g手霜款式随机	https://item.jd.com/23530453949.html	23530453949	乳液面霜	23530453949	面部护肤	1316,1381,1391	27.90	29.00	;商品名称：百雀羚面霜经典保湿滋养面霜女国货护肤品老牌补水保湿滋润素颜霜官方旗舰店官网 3瓶装送30g手霜款式随机;;商品编号：23530453949;;店铺：;百雀羚雅丽专卖店;;商品毛重：200.00g;;适合肤质：任何肤质;;功效：补水，保湿，滋润，修护;;国产/进口：国产;;净含量：51g/mL-100g/mL;;分类：面霜;;适用人群：成人;;产品产地：中国大陆;	668945	有效期2018-12-07至2018-12-17,满199减20;有效期2018-12-07至2018-12-17,满299减30;有效期2018-12-01至2018-12-31,满499减50	满299元即赠热销商品，赠完即止，请在购物车点击领取	99	0	1	2700	8	7	2800	2000	5
