Name	Count	Category	Class	ProductID
清新淡雅	6	香水彩妆	香水	323578
高端大气	2	香水彩妆	香水	323578
极其好用	1	香水彩妆	香水	323578
款式漂亮	1	香水彩妆	香水	323578
款式漂亮	46	香水彩妆	香水	234431
极其好用	20	香水彩妆	香水	234431
用着舒服	16	香水彩妆	香水	234431
精致美观	15	香水彩妆	香水	234431
温柔不刺激	3	香水彩妆	香水	234431
女人味十足	2	香水彩妆	香水	234431
香气四溢	1	香水彩妆	香水	234431
香味清淡	1	香水彩妆	香水	234431
分量足够	1	香水彩妆	香水	234431
款式漂亮	11	香水彩妆	香水	259359
清新淡雅	5	香水彩妆	香水	259359
高端大气	3	香水彩妆	香水	259359
用着舒服	2	香水彩妆	香水	259359
极其好用	1	香水彩妆	香水	259359
感觉美妙	1	香水彩妆	香水	259359
用着不错	1	香水彩妆	香水	259359
精致美观	17	香水彩妆	香水	189101
清香四溢	12	香水彩妆	香水	189101
长期使用	7	香水彩妆	香水	189101
实用性强	6	香水彩妆	香水	189101
香味持久	4	香水彩妆	香水	189101
香味清淡	2	香水彩妆	香水	189101
无刺激性	1	香水彩妆	香水	189101
柔润顺滑	1	香水彩妆	香水	189101
美观大方	1	香水彩妆	香水	189101
清新淡雅	2	香水彩妆	香水	575518
用着舒服	2	香水彩妆	香水	575518
清新不刺激	1	香水彩妆	香水	575518
缓冲保护	1	香水彩妆	香水	575518
简洁大气	1	香水彩妆	香水	575518
极其好用	1	香水彩妆	香水	575518
高端大气	10	香水彩妆	香水	517756
清新淡雅	8	香水彩妆	香水	517756
款式漂亮	7	香水彩妆	香水	517756
安全可靠	3	香水彩妆	香水	517756
极其好用	3	香水彩妆	香水	517756
没有失望	2	香水彩妆	香水	517756
不会刺痛	1	香水彩妆	香水	517756
用着舒服	1	香水彩妆	香水	517756
味道耐闻	1	香水彩妆	香水	517756
比较到位	1	香水彩妆	香水	517756
款式漂亮	13	香水彩妆	香水	1024127744
装得挺好	4	香水彩妆	香水	1024127744
用着舒服	2	香水彩妆	香水	1024127744
极其好用	2	香水彩妆	香水	1024127744
清香四溢	1	香水彩妆	香水	1024127744
香味清淡	1	香水彩妆	香水	1024127744
显而易见	1	香水彩妆	香水	1024127744
清新淡雅	18	香水彩妆	香水	2273740
高贵优雅	3	香水彩妆	香水	2273740
高端大气	3	香水彩妆	香水	2273740
用着舒服	2	香水彩妆	香水	2273740
不会刺痛	1	香水彩妆	香水	2273740
清爽舒适	1	香水彩妆	香水	2273740
极其好用	1	香水彩妆	香水	2273740
没有失望	1	香水彩妆	香水	2273740
用着不错	1	香水彩妆	香水	2273740
清新淡雅	3	香水彩妆	香水	10583209489
清新淡雅	10	香水彩妆	香水	517762
款式漂亮	5	香水彩妆	香水	517762
极其好用	3	香水彩妆	香水	517762
装得挺好	2	香水彩妆	香水	517762
清新淡雅	15	香水彩妆	香水	958435
款式漂亮	8	香水彩妆	香水	958435
极其好用	7	香水彩妆	香水	958435
用着舒服	6	香水彩妆	香水	958435
清香四溢	6	香水彩妆	香水	958435
高端大气	4	香水彩妆	香水	958435
香味持久	1	香水彩妆	香水	958435
高端大气	2	香水彩妆	香水	3531334
用着舒服	1	香水彩妆	香水	3531334
嫩滑水润	1	香水彩妆	香水	3531334
精美漂亮	1	香水彩妆	香水	3531334
用着舒服	1	香水彩妆	香水	1703479061
粉色好看	1	香水彩妆	香水	1703479061
装得精细	1	香水彩妆	香水	1703479061
高端大气	1	香水彩妆	香水	323529
极其好用	1	香水彩妆	香水	323529
漂亮时尚	1	香水彩妆	香水	323529
简约大方	1	香水彩妆	香水	395626
用着舒服	1	香水彩妆	香水	395626
香味持久	1	香水彩妆	香水	395626
极其好用	1	香水彩妆	香水	395626
女人味十足	1	香水彩妆	香水	395626
款式漂亮	1	香水彩妆	香水	395626
高端大气	3	香水彩妆	香水	100001262853
款式漂亮	2	香水彩妆	香水	100001262853
用着舒服	1	香水彩妆	香水	100001262853
不会粘腻	1	香水彩妆	香水	100001262853
款式漂亮	11	香水彩妆	香水	37786361030
高端大气	6	香水彩妆	香水	37786361030
用着舒服	2	香水彩妆	香水	37786361030
质感极佳	2	香水彩妆	香水	37786361030
清新淡雅	1	香水彩妆	香水	37786361030
柔软舒适	1	香水彩妆	香水	37786361030
质地柔软	1	香水彩妆	香水	37786361030
劲爽清新	76	香水彩妆	香水	29503780778
清香四溢	51	香水彩妆	香水	29503780778
款式漂亮	40	香水彩妆	香水	29503780778
精致美观	35	香水彩妆	香水	29503780778
用着舒服	21	香水彩妆	香水	29503780778
香味持久	1	香水彩妆	香水	29503780778
柔润顺滑	1	香水彩妆	香水	29503780778
分量十足	1	香水彩妆	香水	29503780778
香味清淡	1	香水彩妆	香水	29503780778
高端大气	25	香水彩妆	香水	1026563726
极其好用	13	香水彩妆	香水	1026563726
用着舒服	11	香水彩妆	香水	1026563726
款式漂亮	11	香水彩妆	香水	1026563726
清香四溢	7	香水彩妆	香水	1026563726
分量足够	2	香水彩妆	香水	1026563726
香味清淡	2	香水彩妆	香水	1026563726
无刺激性	1	香水彩妆	香水	1026563726
安全可靠	1	香水彩妆	香水	1026563726
结实耐用	1	香水彩妆	香水	1026563726
清新淡雅	2	香水彩妆	香水	6013163
用着舒服	2	香水彩妆	香水	6013163
款式漂亮	2	香水彩妆	香水	6013163
看起来很正	1	香水彩妆	香水	6013163
极其好用	1	香水彩妆	香水	6013163
高端大气	1	香水彩妆	香水	189081
嫩滑水润	1	香水彩妆	香水	189081
清香四溢	1	香水彩妆	香水	189081
款式漂亮	13	香水彩妆	香水	8354857
造型美腻	7	香水彩妆	香水	8354857
极其好用	3	香水彩妆	香水	8354857
用着舒服	1	香水彩妆	香水	8354857
款式漂亮	80	香水彩妆	香水	207991
用着舒服	19	香水彩妆	香水	207991
清香四溢	8	香水彩妆	香水	207991
柔润顺滑	2	香水彩妆	香水	207991
无不良反应	1	香水彩妆	香水	207991
无刺激性	1	香水彩妆	香水	207991
气味香甜	1	香水彩妆	香水	207991
气质优雅	1	香水彩妆	香水	207991
气味好闻	1	香水彩妆	香水	207991
款式漂亮	14	香水彩妆	香水	207886
清新淡雅	13	香水彩妆	香水	207886
极其好用	4	香水彩妆	香水	207886
超级漂亮	2	香水彩妆	香水	207886
实用性强	2	香水彩妆	香水	207886
分量十足	2	香水彩妆	香水	207886
香气四溢	1	香水彩妆	香水	207886
清香四溢	1	香水彩妆	香水	207886
香气温和	1	香水彩妆	香水	207886
蛮精致的	1	香水彩妆	香水	361348
颜色淡雅	1	香水彩妆	香水	361348
款式漂亮	79	香水彩妆	香水	1012041234
清香四溢	73	香水彩妆	香水	1012041234
高端大气	57	香水彩妆	香水	1012041234
极其好用	15	香水彩妆	香水	1012041234
香味持久	5	香水彩妆	香水	1012041234
没有失望	5	香水彩妆	香水	1012041234
香气四溢	2	香水彩妆	香水	1012041234
分量足够	1	香水彩妆	香水	1012041234
女人味十足	1	香水彩妆	香水	1012041234
安全环保	1	香水彩妆	香水	1012041234
香味持久	1	香水彩妆	香水	100000431190
极其好用	1	香水彩妆	香水	100000431190
高端大气	9	香水彩妆	香水	31464764560
清香四溢	6	香水彩妆	香水	31464764560
用着舒服	4	香水彩妆	香水	31464764560
不会刺痛	3	香水彩妆	香水	31464764560
精巧美观	3	香水彩妆	香水	31464764560
清新淡雅	2	香水彩妆	香水	31464764560
款式漂亮	2	香水彩妆	香水	506552
装得挺好	1	香水彩妆	香水	506552
用着舒服	2	香水彩妆	香水	307546
美腻大方	1	香水彩妆	香水	307546
款式漂亮	1	香水彩妆	香水	307546
清新淡雅	6	香水彩妆	香水	28428689131
不会刺痛	1	香水彩妆	香水	28428689131
种类齐全	1	香水彩妆	香水	28428689131
高端大气	1	香水彩妆	香水	28428689131
香气温和	1	香水彩妆	香水	28428689131
不占空间	1	香水彩妆	香水	28428689131
精致美观	22	香水彩妆	香水	26853048791
装得挺好	20	香水彩妆	香水	26853048791
不会刺痛	8	香水彩妆	香水	26853048791
用着舒服	6	香水彩妆	香水	26853048791
极其好用	5	香水彩妆	香水	26853048791
无刺激性	2	香水彩妆	香水	26853048791
质感极佳	1	香水彩妆	香水	26853048791
香味清淡	1	香水彩妆	香水	26853048791
香气温和	1	香水彩妆	香水	26853048791
清新淡雅	6	香水彩妆	香水	189083
款式漂亮	4	香水彩妆	香水	189083
极其好用	3	香水彩妆	香水	189083
清爽舒适	1	香水彩妆	香水	189083
漂亮时尚	1	香水彩妆	香水	189083
清新淡雅	3	香水彩妆	香水	761685
高端大气	1	香水彩妆	香水	761685
嫩滑水润	1	香水彩妆	香水	761685
款式漂亮	1	香水彩妆	香水	761685
极其好用	2	香水彩妆	香水	395625
嫩滑水润	2	香水彩妆	香水	395625
款式漂亮	2	香水彩妆	香水	395625
香味持久	1	香水彩妆	香水	395625
精致美观	1	香水彩妆	香水	395625
比较甜美	1	香水彩妆	香水	395625
没有失望	1	香水彩妆	香水	395625
清新淡雅	1	香水彩妆	香水	259348
