Name	URL	ProductID	Category	Items_id	Class	Class_id	reallyPrice	originalPrice	description	shopId	favourableDesc1	favourableDesc2	goodRateShow	poorRateShow	generalRateShow	goodCount	generalCount	poorCount	commentCount	defaultGoodCount	averageScore
Chanel香奈儿邂逅柔情淡香水 50ml（又名：香奈儿邂逅柔情淡香水（瓶装）50ml）	https://item.jd.com/323578.html	323578	香水	323578	香水彩妆	1316,1387,11932	791.00	850.00	;商品名称：香奈儿香水;;商品编号：323578;;商品毛重：160.00g;;商品产地：法国;;适用性别：女;;香调：花果香调;;净含量：31ml-100ml;;包装：独立装;;分类：淡香水EDT;;适用场景：日常，约会，商务，party聚会，运动，旅行;	1000005182		Âú1000Ôª¼õ100Ôª	96	2	2	65000	1000	1000	67000	15000	5
范思哲(VERSACE)晶钻女用香水 30ml (又名：范思哲(VERSACE)晶钻女士香水 30ml) 持久自然	https://item.jd.com/234431.html	234431	香水	234431	香水彩妆	1316,1387,11932	299.00	460.00	;商品名称：范思哲香水;;商品编号：234431;;商品毛重：160.00g;;商品产地：意大利;;国产/进口：进口;;适用性别：女士;;产品产地：意大利;;香调：花果香调;;净含量：16mL-30mL;;分类：淡香水EDT;;包装：独立包装;;适用场景：日常，职场，约会，情趣，送礼;	1000002281	有效期2018-12-12至2018-12-13,满500减50		97	1	2	140000	2000	1200	140000	50000	5
迪奥（Dior）迪奥小姐花漾淡香氛(EDT) 50ml（又名:迪奥小姐花漾淡香水）	https://item.jd.com/259359.html	259359	香水	259359	香水彩妆	1316,1387,11932	699.00	830.00	;商品名称：迪奥香水;;商品编号：259359;;商品毛重：200.00g;;商品产地：法国;;适用性别：女;;香调：花果香调;;净含量：31ml-100ml;;包装：独立装;;分类：淡香水EDT;;适用场景：日常，约会，商务，party聚会，旅行，其它;	1000081945		满499元减100元;满499元减100元	97	2	1	36000	400	500	37000	13000	5
菲拉格慕（Ferragamo）蓝色经典男士淡香水（香氛）50ml	https://item.jd.com/189101.html	189101	香水	189101	香水彩妆	1316,1387,11932	169.00	551.00	;商品名称：菲拉格慕男士淡香水;;商品编号：189101;;商品毛重：250.00g;;商品产地：意大利;;国产/进口：进口;;适用性别：男士;;产品产地：意大利;;香调：花果香调;;净含量：31mL-50mL;;分类：淡香水EDT;;包装：独立包装;;适用场景：日常，运动，约会，旅行;	1000005242		满499元减150元	97	1	2	190000	2600	1700	200000	95000	5
CHANEL香奈儿蔚蓝男士淡香水50ml	https://item.jd.com/575518.html	575518	香水	575518	香水彩妆	1316,1387,11932	669.00	690.00	;商品名称：香奈儿香水;;商品编号：575518;;商品毛重：230.00g;;商品产地：法国;;适用性别：男;;香调：木质香调;;净含量：31ml-100ml;;包装：独立装;;分类：淡香水EDT;;适用场景：日常，约会，商务，party聚会，运动，旅行;	1000005182		满1000元减100元	97	1	2	12000	100	100	13000	3200	5
古驰（GUCCI）罪爱女用淡香水 30ml（又名：古驰（GUCCI）罪爱女士淡香水 30ml )	https://item.jd.com/517756.html	517756	香水	517756	香水彩妆	1316,1387,11932	389.00	660.00	;商品名称：古驰香水;;商品编号：517756;;商品毛重：220.00g;;商品产地：法国;;国产/进口：进口;;适用性别：女士;;产品产地：法国;;香调：花果香调;;净含量：16mL-30mL;;分类：淡香水EDT;;包装：独立包装;;适用场景：日常，约会，旅行;	1000005174			97	1	2	90000	900	900	92000	36000	5
	https://item.jd.com/1024127744.html	1024127744	香水	1024127744	香水彩妆	1316,1387,11932	520.00	750.00	;商品名称：【送礼盒+手提袋】迪奥（Dior）小姐花漾甜心女士淡香水50ml（EDT）花果香调;;商品编号：1024127744;;店铺：;美伊美;;商品毛重：200.00g;;商品产地：法国;;国产/进口：进口;;适用性别：女士;;产品产地：法国;;香调：花果香调;;净含量：31mL-50mL;;分类：淡香水EDT;;包装：其它;;适用场景：日常，聚会，约会，送礼;	37206	有效期2018-12-06至2018-12-13,满1000减100	满199元以折扣价在购物车换购热销商品	97	2	1	28000	200	400	28000	17000	5
祖玛珑 （jomalone ）蓝风铃香水30ml (女士香水）	https://item.jd.com/2273740.html	2273740	香水	2273740	香水彩妆	1316,1387,11932	588.00	620.00	;商品名称：祖玛珑香水;;商品编号：2273740;;商品毛重：160.00g;;商品产地：英国;;国产/进口：进口;;适用性别：女士;;产品产地：英国;;香调：花果香调;;净含量：16mL-30mL;;分类：古龙水EDC;;包装：独立包装;;适用场景：日常，职场，聚会，运动，约会，旅行，情趣，送礼;	1000002742	有效期2018-12-12至2018-12-13,满500减50	满499元减150元	99	1	0	46000	100	200	47000	33000	5
	https://item.jd.com/10583209489.html	10583209489	香水	10583209489	香水彩妆	1316,1387,11932	385.00	1999.00	;商品名称：香奈儿（Chanel） 女士香水 粉色邂逅柔情发香雾35ml（赠香奈儿礼袋）;;商品编号：10583209489;;店铺：;优品美妆专营店;;商品毛重：120.00g;;国产/进口：进口;;适用性别：通用;;产品产地：其它;;香调：花果香调;;净含量：51mL-75mL;;分类：淡香水EDT;;包装：独立包装;;适用场景：日常;	10736	有效期2018-11-30至2018-12-31,满99减5;有效期2018-11-30至2018-12-31,满399减10;有效期2018-11-30至2018-12-31,满699减20	满69元以折扣价在购物车换购热销商品	98	2	0	10000	50	100	11000	7900	5
古驰（GUCCI）罪爱女用淡香水 50ml（又名：古驰（GUCCI）罪爱女性淡香水 50ml )	https://item.jd.com/517762.html	517762	香水	517762	香水彩妆	1316,1387,11932	699.00	850.00	;商品名称：古驰香水;;商品编号：517762;;商品毛重：250.00g;;商品产地：法国;;国产/进口：进口;;适用性别：女士;;产品产地：法国;;香调：花果香调;;净含量：31mL-50mL;;分类：淡香水EDT;;包装：独立包装;;适用场景：日常，约会，旅行;	1000005174	有效期2018-12-12至2018-12-13,满500减50	满499元减150元	97	1	2	90000	900	900	92000	36000	5
古驰（GUCCI）绚丽栀子淡香水 30ml （又名：古驰绚丽栀子香型女用淡香水 30ml）	https://item.jd.com/958435.html	958435	香水	958435	香水彩妆	1316,1387,11932	389.00	660.00	;商品名称：古驰淡香水;;商品编号：958435;;商品毛重：220.00g;;商品产地：法国;;国产/进口：进口;;适用性别：女士;;产品产地：法国;;香调：花果香调;;净含量：16mL-30mL;;分类：淡香水EDT;;包装：独立包装;;适用场景：日常，运动，约会，旅行，情趣，其它;	1000005174			98	2	0	30000	100	100	30000	20000	5
迪奥（Dior）男士香水淡香水 Sauvage旷野男士淡香水 60ml	https://item.jd.com/3531334.html	3531334	香水	3531334	香水彩妆	1316,1387,11932	628.00	680.00	;商品名称：迪奥香水;;商品编号：3531334;;商品毛重：260.00g;;商品产地：其他;;国产/进口：进口;;适用性别：男士;;产品产地：其它;;香调：其它;;净含量：51mL-75mL;;分类：淡香水EDT;;包装：独立包装;;适用场景：日常，职场，聚会，约会，旅行，情趣，送礼，户外;	1000081945		满499元减100元;满499元减100元	98	1	1	4800	20	20	4900	3000	5
